RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality
6755117	The Romance of Sandro Botticelli woven from his Paintings.	20160127192155_00015	The Academy and literature, 1910-1914	Sep 28, 1912	1912	Anderson, A. J. (Arthur James)	The romance of Sandro Botticelli woven with his paintings	1912	3.897893448820391
8964254	Some Trivial Recollections of an Old Landscape Painter, 10/6 net.	20160127192303_00008	The Athenaeum	Sep 6, 1913	1913	nan	Some trivial recollections of an old landscape painter. --	1913	3.800799274255157
3182655	THERE'S PIPPINS AND CHEESE TO COME.	20160127185900_00007	The Bookman	Apr 1918	1918	Brooks, Charles S. (Charles Stephen)	There's pippins and cheese to come	1917	3.7885714285714283
8931660	Siri Ram, Revolutionist, a Transcript from Life, 1907-1910, 6/	20160127191542_00003	The Athenaeum	Dec 21, 1912	1912	nan	Siri Ram revolutionist; a transcript from life, 1907-1910	1913	3.768690187242243
3185783	THROUGH BIRDLAND BYWAYS WITH PEN AND CAMERA.	20160127190825_00015	The Bookman	Dec 1910	1910	Pike, Oliver G. (Oliver Gregory)	Through birdland byways with pen and camera	1909	3.633412698412698
8960356	Wilhelm Meister's Theatrical Mission.	20160127183527_00008	The Athenaeum	May 24, 1913	1913	Goethe, Johann Wolfgang von	Wilhelm Meister's theatrical mission	1913	3.571706349206349
6770298	Stories of India, Moral, Mystical, Spiritual and Romantic.	20160127190927_00008	The Academy, 1914	Feb 7, 1914	1914	Anthon, Rose Reinhardt	Stories of India, moral, mystical, spiritual and romantic	1913	3.5615077995638034
6833326	Anne Kempburn, Truthseeker.	20160127191949_00014	The Academy, 1905-1910	Nov 19, 1910	1910	Bryant, Marguerite	Anne Kempburn, truthseeker	1910	3.5439080459770116
3197336	THE SEVEN RICHEST HEIRESSES OF FRANCE.	20160127183628_00009	The Bookman	Dec 1911	1911	comte de, Soissons, Guy Jean Raoul Eugène Charles Emmanuel de Savoie-Carignan	The seven richest heiresses of France	1911	3.5290490717336356
8950035	The Ragged Trousered Philanthropists.	20160127191542_00003	The Athenaeum	Apr 25, 1914	1914	Tressell, Robert	The ragged trousered philanthropists	1914	3.5266666666666664
6851211	The Ragged Trousered Philanthropists.	20160127192159_00016	The Academy, 1914	May 23, 1914	1914	Tressell, Robert	The ragged trousered philanthropists	1914	3.5266666666666664
8963210	Hausa Folk-Lore, Customs, Proverbs, &c.	20160127193122_00012	The Athenaeum	Jun 28, 1913	1913	Rattray, R. S. (Robert Sutherland)	Hausa Folk-lore, customs, proverbs, etc. coll. and transliterated with English transl. and notes	1913	3.5225
3193053	FARTHER AFIELD IN BIRDLAND.	20160127183222_00004	The Bookman	Dec 1911	1911	Pike, Oliver Gregory	Farther afield in birdland	1912	3.518333333333333
3200561	GEORGE WENDERN GAVE A PARTY.	20160127185047_00002	The Bookman	Jul 1912	1912	Inglis, John, pseud	George Wendern gave a party	1912	3.5170263975155276
2439776	MR. BRITLING SEES IT THROUGH.	20160127183222_00004	The English review,  1908-1937	Nov 1916	1916	Wells, H. G. (Herbert George)	Mr. Britling sees it through	1916	3.496776970675276
8970529	Mr. Britling Sees It Through.	20160127192053_00005	The Athenaeum	Oct 1916	1916	Wells, H. G. (Herbert George)	Mr. Britling sees it through	1916	3.496776970675276
3197219	THREE GENTLEMEN FROM NEW CALEDONIA.	20160127191234_00017	The Bookman	Dec 1915	1915	Hemingway, Richard D'Oyly	Three gentlemen from New Caledonia	1915	3.49210172977757
9365913	Three Gentlemen from New Caledonia.	20160127192407_00009	The Athenaeum	Aug 28, 1915	1915	Hemingway, Richard D'Oyly	Three gentlemen from New Caledonia	1915	3.49210172977757
6864294	Alongshore, Where Man and the Sea Face One Another.	20160127191949_00014	The Academy and literature, 1910-1914	Dec 31, 1910	1910	Reynolds, Stephen Sydney	Alongshore, where man and the sea face one another	1910	3.4867005069585715
8944793	Strange Stories from the Lodge of Leisures, translated from the Chinese by George Soulie, 3/6 net.	20160127192407_00009	The Athenaeum	Apr 26, 1913	1913	Pu, Songling	Strange stories from the lodge of leisures	1913	3.4826921368045243
6853878	Castellinaria and other Sicilian Diversions.	20160127190414_00004	The Academy and literature, 1910-1914	Mar 23, 1912	1912	Jones, Henry Festing	Castellinaria, and other Sicilian diversions	1911	3.479989463643701
3191001	CASTELLINARIA AND OTHER SICILIAN DIVERSIONS.	20160127190515_00012	The Bookman	Feb 1912	1912	Jones, Henry Festing	Castellinaria, and other Sicilian diversions	1911	3.479989463643701
6823673	A Changed Man, The Waiting Supper, and Other Tales; concluding with The Romantic Adventures of a Milkmaid.	20160127192510_00019	The Academy and literature, 1910-1914	Nov 8, 1913	1913	Hardy, Thomas	A changed man, The waiting supper and other tales	1913	3.471593945436418
3297121	THE QUEST OF LEDGAR DUNSTAN.	20160127185454_00005	The Bookman	Aug 1917	1917	Sheppard, Alfred Tresidder	The quest of Ledgar Dunstan	1917	3.466060606060606
9074720	An Imperial Victim: Marie Louise, Archduchess of Austria, Empress of the French, and Duchess of Parma.	20160127192715_00011	The Athenaeum	Oct 7, 1911	1911	Cuthell, Edith E	An imperial victim; Marie Louise archduchess of Austria, empress of the French, duchess of Parma	1912	3.462287830687831
9449932	Lord Loveland Discovers America.	20160127191439_00002	The Athenaeum	Apr 2, 1910	1910	Williamson, C. N. (Charles Norris)	Lord Loveland discovers America	1910	3.455679012345679
3181875	LORD LOVELAND DISCOVERS AMERICA.	20160127185352_00004	The Bookman	Aug 1910	1910	Williamson, C. N. (Charles Norris)	Lord Loveland discovers America	1910	3.455679012345679
