RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality
8257831	37. Ashford Rectory; or, The Spoiled Child reformed. Containing a short Introduction to the Sciences of Architecture and Heraldry; with a particular Account of the Grecian and Roman Games, &c. &c.	20160127190311_00003	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Aug 1818	1818	Jamieson, Frances Thurtle	Ashford rectory; or, The spoiled child reformed. Containing a short introduction to the sciences of architecture and heraldry; with a particular account of the Grecian and Roman games, etc. etc	1820	3.8433124183006537
5099827	Ashford Rectory, or the Spoiled Child reformed.	20160127230555_00007	The Literary gazette : A weekly journal of literature, science, and the fine arts	Sep 12, 1818	1818	Jamieson, Frances Thurtle	Ashford rectory; or, The spoiled child reformed. Containing a short introduction to the sciences of architecture and heraldry; with a particular account of the Grecian and Roman games, etc. etc	1820	3.5696679738562094
8387285	23. Apparitions; or, the Mystery of Ghosts, Hobgoblins, & Haunted Houses, developed. Being a Collection of entertaining Stories, founded on Fact; and selected for the Purpose of eradicating those ridiculous Fears, which the Ignorant, the Weak, and the Superstitious, are but too apt to encourage, for Want of properly examining into the Causes of such absurd Impositions.	20160127191545_00013	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Aug 1815	1815	Taylor, Joseph	Apparitions; or, The mystery of ghosts, hobgoblins, & haunted houses developed	1814	3.559885714285714
4428412	IWANOWNA; OR, THE MAID OF MOSCOW.	20160127234801_00004	New review : or Monthly analysis of general literature	Sep 1813	1813	Hofland, (Barbara), Mrs	Iwanowna; or, The maid of Moscow : a novel	1815	3.4868115942028983
6071453	Correspondence between a Mother and her Daughter at School.	20160128002201_00008	The Literary panorama, 1806-1819	Aug 1817	1817	Taylor, (Ann Martin), Mrs	Correspondence between a mother and her daughter at school	1817	3.4515961231750705
5097338	CORRESPONDENCE between a MOTHER and her DAUGHTER at SCHOOL.	20160128000328_00006	The Literary gazette : A weekly journal of literature, science, and the fine arts	Sep 6, 1817	1817	Taylor, (Ann Martin), Mrs	Correspondence between a mother and her daughter at school	1817	3.4515961231750705
5793918	Harry's Holiday, or the Doings of one who had Nothing to Do.	20160127231822_00007	The Literary panorama, 1806-1819	Dec 1818	1818	Taylor, Jefferys	Harry's holiday, or, The doings of one who had nothing to do	1822	3.4510444444444444
4428562	THE LIFE OF PILL GARLICK; Rather a Whimsical Sort of Fellow.	20160127192713_00002	New review : or Monthly analysis of general literature	Dec 1813	1813	Temple, Edmond	The life of Pill Garlick;	1813	3.4482594417077173
5815537	Authentic Memoirs of the Revolution in France, and of the sufferings of the Royal Family.	20160128001752_00003	The Literary panorama, 1806-1819	Oct 1817	1817	nan	Authentic memoirs of the revolution in France, and of the sufferings of the royal family	1817	3.3870501835985314
5104617	AUTHENTIC MEMOIRS of the REVOLUTION in FRANCE, and of the Sufferings of the ROYAL FAMILY.	20160127235209_00009	The Literary gazette : A weekly journal of literature, science, and the fine arts	Sep 27, 1817	1817	nan	Authentic memoirs of the revolution in France, and of the sufferings of the royal family	1817	3.3870501835985314
5162370	A Narrative of the Shipwreck of the Oswego, on the Coast of South Barbary, and of the Sufferings of the Master and the Crew while in Bondage among the Arabs; &c. &c.	20160127235207_00008	The Literary gazette : A weekly journal of literature, science, and the fine arts	Oct 17, 1818	1818	Paddock, Judah	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	1818	3.3856410256410254
4649840	A Narrative of the Shipwreck of the Oswego, &c.	20160127230454_00006	The Literary journal, and general miscellany of politics, science, arts, morals, and manners,  1718-1719	Oct 1818	1818	Paddock, Judah	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	1818	3.3856410256410254
4650792	A Narrative of the Shipwreck of the Oswego, &c.	20160127230453_00005	The Literary journal, and general miscellany of politics, science, arts, morals, and manners,  1718-1719	Oct 1818	1818	Paddock, Judah	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	1818	3.3856410256410254
5729734	A Narrative of the Shipwreck of the Oswego, &c.	20160128000326_00005	Edinburgh magazine and literary miscellany	Dec 1818	1818	Paddock, Judah	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	1818	3.3856410256410254
5772328	Self-Indulgence; a Tale of the Nineteenth Century.	20160127231107_00001	scots magazine and Edinburgh literary miscellany, Jan. 1804-July 1817	Jun 1812	1812	Bury, Charlotte Campbell, Lady	Self-indulgence; a tale of the nineteenth century	1812	3.3776616532347754
6129972	The Victim of Intolerance; or, the Hermit of Killar y, a Catholic Tale.	20160128002159_00007	The Literary panorama, 1806-1819	Oct 1814	1814	Torrens, R. (Robert)	The victim of intolerance; or, The hermit of Killarney, a Catholic tale ... $n: 1	1814	3.3195238095238095
5103832	The SECOND PART of ARMATA.	20160127230351_00004	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jul 26, 1817	1817	Baron, Erskine, Thomas Erskine	The second part of Armata	1817	3.3183333333333334
6084200	The Descent of Liberty, a Mask; by Leigh Hunt.	20160127232631_00001	The Literary panorama, 1806-1819	Mar 1815	1815	Hunt, Leigh	The descent of liberty, a mask	1815	3.31
4427627	CAMBRIAN PICTURES; OR, EVERY ONE HAS ERRORS.	20160127224123_00002	New review : or Monthly analysis of general literature	Sep 1813	1813	Hatton, Ann Julia (Kemble)	Cambrian pictures, or, Every one has errors	1810	3.303822222222222
5163923	The Eskdale Herd-Boy, a Scottish Tale, by Mrs. Blackford, 12mo. pp. 260.	20160127230802_00010	The Literary gazette : A weekly journal of literature, science, and the fine arts	Nov 27, 1819	1819	Blackford, (Martha), Mrs	The Eskdale herd-boy : a Scottish tale for the amusement of young persons	1828	3.2697500590318773
8211953	65. Things by their right Names; a Novel, in Two Volumes.	20160127192715_00011	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Jun 1814	1814	nan	Things by their right names; a novel in two volumes	1814	3.2665457378664695
5163209	ANTAR, a Bedoueen Romance.	20160127230454_00006	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jan 2, 1819	1819	nan	Antar, a Bedoueen romance	1819	3.257348484848485
