genre	meanvalidation	validations	mean_cv	mean_features
biography	0.6266666666666667	[0.6533333333333333, 0.64, 0.5866666666666667]	0.6383333333333333	1466.6666666666667
britain	0.5458937198067634	[0.5652173913043478, 0.4927536231884058, 0.5797101449275363]	0.5983333333333334	316.6666666666667
englishfiction	0.51	[0.545, 0.485, 0.5]	0.5833333333333334	803.3333333333334
folklore	0.8916666666666666	[0.9, 0.875, 0.9]	0.9233333333333333	1866.6666666666667
history	0.603448275862069	[0.5632183908045977, 0.6551724137931034, 0.5919540229885057]	0.6849999999999999	1333.3333333333333
juvenile	0.745	[0.725, 0.765, 0.745]	0.79	1600.0
northamerica	0.5067340067340068	[0.4797979797979798, 0.5202020202020202, 0.5202020202020202]	0.5816666666666667	150.0
novel	0.5616666666666666	[0.62, 0.58, 0.485]	0.6183333333333333	1000.0
random	0.4972420836290288	[0.46632124352331605, 0.5357142857142857, 0.4896907216494845]	0.5700000000000001	803.3333333333334
romance	0.6727272727272728	[0.6272727272727273, 0.6454545454545455, 0.7454545454545455]	0.7483333333333334	66.66666666666667
social	0.49523809523809526	[0.4857142857142857, 0.4714285714285714, 0.5285714285714286]	0.6116666666666667	1100.0
stories	0.6983333333333334	[0.735, 0.675, 0.685]	0.81	866.6666666666666
unmarked	0.4891122278056952	[0.41708542713567837, 0.5175879396984925, 0.5326633165829145]	0.5599999999999999	103.33333333333333
war	0.6752873563218391	[0.6551724137931034, 0.7068965517241379, 0.6637931034482759]	0.7366666666666668	833.3333333333334
