genre	meanvalidation	validations	mean_cv	mean_features
biography	0.648888888888889	[0.6, 0.6733333333333333, 0.6733333333333333]	0.7766666666666667	333.3333333333333
britain	0.6714975845410628	[0.6811594202898551, 0.7463768115942029, 0.5869565217391305]	0.8083333333333332	1733.3333333333333
englishfiction	0.6	[0.61, 0.615, 0.575]	0.7166666666666667	1066.6666666666667
folklore	0.9291666666666666	[0.9375, 0.9, 0.95]	0.96	400.0
history	0.7591522157996146	[0.7745664739884393, 0.7687861271676301, 0.7341040462427746]	0.8366666666666668	4133.333333333333
juvenile	0.8166666666666665	[0.83, 0.845, 0.775]	0.89	1200.0
northamerica	0.648148148148148	[0.6161616161616161, 0.6464646464646465, 0.6818181818181818]	0.795	2400.0
novel	0.6066666666666666	[0.585, 0.565, 0.67]	0.735	2666.6666666666665
random	0.5135690665950802	[0.4845360824742268, 0.47668393782383417, 0.5794871794871795]	0.6966666666666667	400.0
romance	0.6878787878787879	[0.7, 0.6727272727272727, 0.6909090909090909]	0.7583333333333334	2533.3333333333335
social	0.6523809523809524	[0.6714285714285714, 0.7142857142857143, 0.5714285714285714]	0.79	1600.0
stories	0.6733333333333333	[0.655, 0.725, 0.64]	0.8250000000000001	1733.3333333333333
unmarked	0.5485594639865996	[0.5778894472361809, 0.5577889447236181, 0.51]	0.6933333333333334	1333.3333333333333
war	0.8103448275862069	[0.8362068965517241, 0.7672413793103449, 0.8275862068965517]	0.8933333333333334	933.3333333333334
