"volid"	"filename"	"title"	"enumcron"	"year"
"uc1.32106019850327"	"brd"	"Book Review Digest"	"(1917)"	1917
"mdp.39015078261040"	"brd"	"Book Review Digest"	"(v.13 1917)"	1917
"nyp.33433082016571"	"brd"	"Book Review Digest"		1918
"nyp.33433082016589"	"brd"	"Book Review Digest"		1919
"uiug.30112013681678"	"brd"	"Book Review Digest"	"(v.16(1920-1921))"	1920
"chi.56735505"	"brd"	"Book Review Digest"	"(v.17 1921 & index v.13-17 1917-21)"	1921
"uc1.32106019850368"	"brd"	"Book Review Digest"	"(1921)"	1921
"uc1.32106019610374"	"brd"	"Book Review Digest"	"(1922)"	1922
"uc1.32106019610382"	"brd"	"Book Review Digest"	"(1923)"	1923
"uc1.32106019610390"	"brd"	"Book Review Digest"	"(1924)"	1924
"uc1.32106019610408"	"brd"	"Book Review Digest"	"(1925)"	1925
"uc1.32106019610416"	"brd"	"Book Review Digest"	"(1926)"	1926
"mdp.39015078261131"	"brd"	"Book Review Digest"	"(v.22 1926)"	1926
"uc1.32106019610424"	"brd"	"Book Review Digest"	"(1927)"	1927
"uc1.32106019610432"	"brd"	"Book Review Digest"	"(1928)"	1928
"uc1.32106019610440"	"brd"	"Book Review Digest"	"(1929)"	1929
"uc1.32106019610457"	"brd"	"Book Review Digest"	"(1930)"	1930
"mdp.39015078261180"	"brd"	"Book Review Digest"	"(v.27 1931)"	1931
"uc1.32106019610465"	"brd"	"Book Review Digest"	"(1932)"	1932
"uc1.32106019610473"	"brd"	"Book Review Digest"	"(1933)"	1933
"uc1.32106019610481"	"brd"	"Book Review Digest"	"(1934)"	1934
"uc1.32106019610499"	"brd"	"Book Review Digest"	"(1935)"	1935
"mdp.39015078261230"	"brd"	"Book Review Digest"	"(v.32 1936)"	1936
"uc1.32106019610507"	"brd"	"Book Review Digest"	"(1937)"	1937
"uc1.32106019610515"	"brd"	"Book Review Digest"	"(1938)"	1938
"uc1.32106019610523"	"brd"	"Book Review Digest"	"(1939)"	1939
"uc1.32106019610531"	"brd"	"Book Review Digest"	"(1940)"	1940
"mdp.39015078261289"	"brd"	"Book Review Digest"	"(v.37 1941)"	1941
"uc1.32106019610549"	"brd"	"Book Review Digest"	"(1942)"	1942
"uc1.32106019610556"	"brd"	"Book Review Digest"	"(1943)"	1943
"uc1.32106019610564"	"brd"	"Book Review Digest"	"(1944)"	1944
"uc1.32106019610572"	"brd"	"Book Review Digest"	"(1945)"	1945
"uc1.32106019610580"	"brd"	"Book Review Digest"	"(1946)"	1946
"mdp.39015078261339"	"brd"	"Book Review Digest"	"(v.42 1946)"	1946
"uc1.32106019610598"	"brd"	"Book Review Digest"	"(1947)"	1947
"uc1.32106019610606"	"brd"	"Book Review Digest"	"(1948)"	1948
"uc1.32106019610614"	"brd"	"Book Review Digest"	"(1949)"	1949
"mdp.39015078261370"	"brd"	"Book Review Digest"	"(v.46 1950)"	1950
"mdp.39015078261388"	"brd"	"Book Review Digest"	"(v.47 1951)"	1951
"uc1.32106019610622"	"brd"	"Book Review Digest"	"(1952)"	1952
"uc1.32106019610630"	"brd"	"Book Review Digest"	"(1953)"	1953
"uc1.32106019610648"	"brd"	"Book Review Digest"	"(1954)"	1954
"uc1.32106019610655"	"brd"	"Book Review Digest"	"(1955)"	1955
"mdp.39015078261438"	"brd"	"Book Review Digest"	"(v.52 1956)"	1956
"uc1.32106019610663"	"brd"	"Book Review Digest"	"(1957)"	1957
"uc1.32106019610671"	"brd"	"Book Review Digest"	"(1958)"	1958
"uc1.32106019610689"	"brd"	"Book Review Digest"	"(1959)"	1959
"mdp.39015078261495"	"brd"	"Book Review Digest"	"(v.58 1962)"	1962
"uc1.32106019848347"	"brd"	"Book Review Digest"	"(1963)"	1963
"mdp.39015078261511"	"brd"	"Book Review Digest"	"(v.60 1964)"	1964
"mdp.39015078261529"	"brd"	"Book Review Digest"	"(v.61 1965)"	1965
"mdp.39015078261537"	"brd"	"Book Review Digest"	"(v.62 1966)"	1966
"mdp.39015078261552"	"brd"	"Book Review Digest"	"(v.63 1967)"	1967
"mdp.39015078261560"	"brd"	"Book Review Digest"	"(v.64 1968)"	1968
"mdp.39015078261578"	"brd"	"Book Review Digest"	"(v.65 1969)"	1969
