seq	RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality	isfiction	howpositive	genresnamed	comments
600	8511843	CRUEL AS THE GRAVE.	20160128001241_00001	Examiner	Dec 23, 1871	1871	Southworth, Emma Dorothy Eliza Nevitte	Cruel as the grave	1871	2.663766233766234				
601	6784248	THAT SWEET ENEMY.	20160127190003_00001	The Academy, 1869-1902, 0269-333X	Mar 2, 1901	1901	Tynan, Katharine	That sweet enemy	1901	2.4312500000000004				
602	8529714	BETWEEN WHILES.	20160128005914_00004	Examiner	Dec 29, 1877	1877	Jackson, Helen Hunt	Between whiles	1887	2.541794871794872				
603	8789875	The Landlord of the Sun.	20160127192611_00010	The Athenaeum	Jun 10, 1871	1871	Gilbert, William	The landlord of 'The Sun,'	1871	2.259593253968254				
604	4369415	BROKEN TO HARNESS.	20160127192508_00001	The London review of politics, society, literature, art, and science	Jan 28, 1865	1865	Yates, Edmund Hodgson	Broken to harness	1864	2.6194117647058826				
605	4702778	THE POETICAL WORKS OF THOMAS CAMPBELL.	20160127234801_00004	The Monthly Magazine	Feb 1840	1840	Moore, Thomas	The poetical works of Thomas Moore, collected by himself	1840	2.802988753290261				
606	8936554	The Wife of Altamont.	20160127191848_00004	The Athenaeum	May 28, 1910	1910	Hunt, Violet	The wife of Altamont	1910	2.85				
607	8192172	Trials of the Heart.	20160127190003_00001	The Gentleman's Magazine: and historical review, July 1856-May 1868	Apr 1839	1839	Bray, (Anna Eliza), Mrs	Trials of the heart	1815	2.188287037037037				
608	4412385	DIARY OF MADAME D'ARBLAY.	20160127224123_00002	New monthly magazine and humorist, Jan. 1837-Dec. 1852	Aug 1842	1842	Burney, Fanny	Memoirs of Madame d'Arblay	1844	2.3479791406358457				
609	8984981	Charles O'Malley, the Irish Dragoon.	20160127192715_00011	The Athenaeum	Feb 27, 1841	1841	Lever, Charles James	Charles O'Malley, the Irish dragoon	1841	3.3473376623376625				
610	6848722	Sketches in Poland.	20160127190619_00006	The Academy and literature,  1914-1916	Jan 9, 1915	1915	Little, Frances Delanoy	Sketches in Poland	1914	2.5060368663594472				
611	8757318	In a Silver Sea.	20160127191542_00003	The Athenaeum	Mar 20, 1886	1886	Farjeon, B. L. (Benjamin Leopold)	In a silver sea	1886	2.331522476675149				
612	6649418	A Passionate Pilgrim and other Tales.	20160127191337_00011	The Academy, 1869-1902, 0269-333X	Jun 12, 1875	1875	James, Henry	A passionate pilgrim, and other tales	1875	2.9995197096205866				
613	5206678	The Romance of History.	20160127230802_00010	The Literary gazette : A weekly journal of literature, science, and the fine arts	Apr 28, 1832	1832	Caunter, Hobart	The romance of history	1836	2.5001989513754217				
614	8718771	The Stage and the Company: a Novel.	20160127191439_00002	The Athenaeum	Mar 6, 1858	1858	Hubback J. Agnes Milbourne	The stage and the company	1858	2.5225				
615	8972163	The Faun and the Philosopher: a Forest Phantasy.	20160127191439_00002	The Athenaeum	Jul 24, 1915	1915	Hutchinson, Horace G. (Horace Gordon)	The Faun and the philosopher;	1915	2.5369230769230766				
616	6775737	The Image in the Sand.	20160127192405_00018	The Academy, 1905-1910	Jul 8, 1905	1905	Benson, E. F. (Edward Frederick)	The image in the sand	1905	2.619872958257713				
617	9117248	High Life in New York.	20160127191335_00001	The Athenaeum	Jul 20, 1844	1844	Stephens, Ann S. (Ann Sophia)	High life in New York	1843	2.9543773267875983				
618	3176432	BUSHIGRAMS.	20160127183323_00005	The Bookman	Jan 1898	1898	Boothby, Guy Newell	Bushigrams	1897	2.243333333333333				
619	3231343	CHARIOT WHEELS.	20160127185454_00005	The Bookman	Feb 1930	1930	Thompson, Sylvia	Chariot wheels	1929	2.4025757575757574				
620	6683549	The Iliad of Homer.	20160127191949_00014	The Academy, 1869-1902, 0269-333X	Mar 3, 1883	1883	Homer	The Iliad of Homer;	1884	2.4006260375854973				
621	8759872	Nelly Jocelyn, Widow.	20160127192159_00016	The Athenaeum	Jul 16, 1887	1887	Middlemass, Jean	Nelly Jocelyn, widow	1887	2.8652669552669554				
622	8842950	The Well at the World's End: a Tale.	20160127191439_00002	The Athenaeum	Feb 20, 1897	1897	Morris, William	The well at the world's end	1896	2.8599144999145003				
623	2753650	My Little Girl.	20160127191441_00019	The Illustrated review : a fortnightly journal of literature, science and art	Apr 1873	1873	Besant, Walter, Sir	My little girl	1873	2.4381486171461875				
624	9157561	Wind and Whirlwind: a Novel.	20160127192407_00009	The Athenaeum	Jun 20, 1868	1868	Elliott, Charles Wyllys	Wind and whirlwind; a novel	1868	2.4715504600141545				
625	3200129	ELI OF THE DOWNS.	20160127183425_00006	The Bookman	Mar 1920	1920	Peake, C. M. A	Eli of the downs	1920	2.6500000000000004				
626	8748030	Foxglove Manor.	20160127192715_00011	The Athenaeum	Sep 13, 1884	1884	Buchanan, Robert Williams	Foxglove manor	1895	2.3914285714285715				
627	6718719	Selections from the Poetical Works of Algernon Charles Swinburne.	20160127190208_00002	The Academy, 1869-1902, 0269-333X	Sep 3, 1887	1887		Selections from the Spectator	1892	2.282337409446537				
628	8399504	Forest Life.	20160128001855_00004	Examiner	Sep 17, 1842	1842	Kirkland, Caroline M. (Caroline Matilda)	Forest life	1842	2.173900074571216				
629	6151249	The Man without a Profession.	20160127233243_00005	The Metropolitan magazine,  1833-1840	May 1844	1844	Rowcroft, Charles	The man without a profession	1844	3.0474209860935524				
630	3241721	A CLOUD OF WITNESSES	20160127185352_00004	The Bookman	Mar 1931	1931	De Koven, Anna	A cloud of witnesses	1920	2.547037037037037				
631	5897718	The Poetical Works of Robert Herrick;	20160128003123_00004	The New quarterly review and digest of current literature, British, American, French, and German	Apr 1859	1859	Scott, Walter, Sir	The poetical works of Sir Walter Scott	1857	2.301975485799701				
632	5870691	My Courtship and its Consequences; and Revelations from the Foreign Office.	20160128001241_00001	The New quarterly review and digest of current literature, British, American, French, and German	Apr 1855	1855	Wikoff, Henry	My courtship and its consequences;	1855	3.3876385130323308				
633	8709263	The English Gipsies and their Language.	20160127192200_00007	The Athenaeum	Oct 18, 1873	1873	Leland, Charles Godfrey	The English Gipsies and their language	1893	3.1041946941946934				
634	3248046	FLORENCE NIGHTINGALE	20160127185900_00007	The Bookman	Jan 1932	1932	Strachey, Lytton	Florence Nightingale	1938	2.66				
635	5207137	Illustrations of Political Economy, No. VI.: Weal and Woe in Garvelock.	20160128000225_00004	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jul 28, 1832	1832	Martineau, Harriet	Illustrations of political economy	1832	3.1877777777777787				
636	8508144	Dorothy Fox.	20160128002408_00011	Examiner	Jan 7, 1871	1871	Parr, Louisa Taylor	Dorothy Fox	1872	2.23				
637	9457474	Reaping the Whirlwind: a Novel.	20160127192157_00006	The Athenaeum	Dec 3, 1864	1864	Daniel	Reaping the whirlwind. A novel	1864	2.5409949044585987				
638	4852090	The Last Illness of Cardinal Wiseman.	20160127234903_00005	The Reader,  1863-1867	May 6, 1865	1865	Morris, John	The last illness of his eminence Cardinal Wiseman	1865	2.9928222222222214				
639	6664626	A Memoir of Jane Austen.	20160127190927_00008	The Academy, 1869-1902, 0269-333X	Aug 1871	1871	Austen-Leigh, James Edward	A memoir of Jane Austen	1871	2.9195308123249304				
640	8520482	TALES OF THE TEUTONIC LANDS.	20160128001241_00001	Examiner	Feb 15, 1873	1873	Cox, George W. (George William)	Tales of the Teutonic lands	1872	3.2573439073514603				
641	3212475	THE POETICAL WORKS OF GILBERT FRANKAU.	20160127190515_00012	The Bookman	Dec 1923	1923	Drummond, William Henry	The poetical works of William Henry Drummond	1912	2.209098120051312				
642	8675691	The Minister's Wife.	20160127192510_00019	The Athenaeum	Jun 26, 1869	1869	Oliphant	The minister's wife	1869	2.5706178287731687				
643	3214297	LAUGHTER, LIMITED.	20160127183425_00006	The Bookman	Jul 1923	1923	Putnam, Nina (Wilcox), Mrs	Laughter limited	1922	2.3646219773492505				
644	4382389	ROBERT FALCONER.	20160127192508_00001	The London review of politics, society, literature, art, and science	Jul 4, 1868	1868	MacDonald, George	Robert Falconer	1868	2.506969696969697				
645	6752078	Folk-Tales of Kashmir.	20160127190927_00008	The Academy, 1869-1902, 0269-333X	Apr 28, 1888	1888	Knowles, James Hinton	Folk-tales of Kashmir	1888	2.7954545454545454				
646	8558876	The Natural History of Man.	20160128010225_00012	Examiner	Sep 5, 1868	1868	Smith, Albert	The natural history of the ballet-girl	1847	2.12265				
647	5180549	Recollections of a Literary Life; or, Books, Places, and People.	20160127230657_00008	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jan 17, 1852	1852	Thomson, A. T, Mrs	Recollections of literary characters and celebrated places	1854	2.5500538461538462				
648	6826053	The Children and the Pictures.	20160127191130_00009	The Academy, 1905-1910	Dec 7, 1907	1907	Grey, Pamela	The children and the pictures	1907	2.7367896354852874				
649	4701901	THE CABINET ANNUAL REGISTER, FOR THE YEAR 1832.	20160127230555_00007	Monthly magazine, or, British regster, Feb. 1800-June 1836	Apr 1833	1833		The Continental annual and romantic cabinet, for 1832 :	1832	2.2243805194805195				
