seq	RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality	isfiction	howpositive	genresnamed	comments
900	8769076	The Natural History of the Tineina. Vol. VI., containing Depressaria. Part I.	20160127192611_00010	The Athenaeum	Sep 14, 1861	1861	Smith, Albert	The natural history of the ballet-girl	1847	2.61625				
901	9378917	The Holy Flower.	20160127191439_00002	The Athenaeum	Apr 10, 1915	1915	Haggard, H. Rider (Henry Rider)	The holy flower	1915	2.361794871794872				
902	3175409	THE RALSTONS.	20160127183527_00008	The Bookman	Feb 1895	1895	Crawford, F. Marion (Francis Marion)	The Ralstons	1893	2.3233333333333333				
903	2716467	Adventures of Don Quixote de la Mancha.	20160127184845_00001	The Illustrated review : a fortnightly journal of literature, science and art	Mar 1871	1871	Cervantes Saavedra, Miguel de	Adventures of Don Quixote de la Mancha	1858	3.182034935543				
904	3186592	THE POETICAL WORKS OF ROBERT BRIDGES.	20160127185352_00004	The Bookman	Dec 1912	1912	Drummond, William Henry	The poetical works of William Henry Drummond	1912	2.1762417945690666				
905	4709117	THE WORKS OF THE RIGHT HON. EDMUND BURKE, WITH A BIOGRAPHICAL AND CRITICAL INTRODUCTION.	20160127230351_00004	Monthly magazine, or, British regster, Feb. 1800-June 1836	Oct 1834	1834	Montagu, Mary Wortley, Lady	The works of the right honourable lady Mary Wortley Montague, including her correspondence, poems, and essays. Published, by permission, from her genuine papers	1817	2.2544139194139188				
906	4351593	LA BEATA.	20160127193123_00003	The London review and weekly journal of politics, literature, art, and society, July 7, 1860-June 29, 1861	May 11, 1861	1861	Trollope, Thomas Adolphus	La Beata	1861	2.2204761904761905				
907	3277590	THE ADVENTURES OF HARRY REVEL.	20160127190618_00013	The Bookman	Jun 1903	1903	Quiller-Couch, Arthur Thomas, Sir	The adventures of Harry Revel	1903	3.096583598956824				
908	8685331	Old Court Life in France.	20160127191440_00012	The Athenaeum	Feb 8, 1873	1873	Elliot, Frances Minto Dickinson	Old court life in France	1873	2.9810258232151883				
909	8514113	The Sapphire Cross.	20160128010018_00005	Examiner	Sep 30, 1871	1871	Fenn, George Manville	The sapphire cross	1871	2.65				
910	6687576	Asgard and the Gods.	20160127192201_00017	The Academy, 1869-1902, 0269-333X	Dec 18, 1880	1880	Wägner, W	Asgard and the gods : tales and traditions of our northern ancestors : told for boys and girls	1880	2.1149727176999904				
911	9144478	Alice Littleton: a Tale.	20160127192053_00005	The Athenaeum	Aug 20, 1859	1859	pseud. Fitz-David, Forester	Alice Littleton. A tale	1859	2.369959218139772				
912	8912439	At the Sign of the Fox.	20160127192508_00001	The Athenaeum	Sep 23, 1905	1905	Wright, Mabel Osgood	At the sign of the fox : a romance	1905	2.5033470047916566				
913	2456007	THE HAWBUCKS.	20160127183222_00004	The English review,  1908-1937	Dec 1929	1929	Masefield, John	The hawbucks	1929	2.3233333333333333				
914	3327154	LORD OF LONELY VALLEY.	20160127190207_00009	The Bookman	Aug 1932	1932	Kyne, Peter B. (Peter Bernard)	Lord of lonely valley	1932	2.760338391269022				
915	8768859	The The Book of the Knight of La Tour Landry, compiled for the Instruction of his Daughters.	20160127192200_00007	The Athenaeum	Feb 29, 1868	1868	La Tour Landry, Geoffroy de	The book of the knight of the tower, Landry, which he made for the instruction of his daughters (by way of selection)	1868	2.196436550836551				
