index	author	title	price	wordcount	rows	avgsent
1+8421	PORTER, GENE (STRATTON) (MR8 CHARLES DARWIN PORTER).	Daughter of the land.	0	2290	8428	3.41875
1+10741	WARD, MARY AUGUSTA (ARNOLD) (MRS HUMPH RY WARD).	Elizabeth's campaign.	1.5	4700	10752	3.4458333333333333
1+1976	CHAMBERS, ROBERT WILLIAM.	Laughing ' girl.	1.6	1890	1980	2.9799999999999995
1+2870	DEJEANS, ELIZABETH (JANES) (MRS SID- NEY BUDGETT).	Nobody’s child.	1.5	5390	2885	3.3625
1+8689	REEVE, ARTHUR BENJAMIN.	Panama plot.	0	210	8691	3.6333333333333333
1+5396	IRWIN, WALLACE ADMAH.	Venus in the East.	1.5	310	5399	3.7249999999999996
1+8109	PERCIVAL, DOROTHY. (30)	Lane	0	720	8113	3.6700000000000004
1+1274	BOWEN, MARJORIE, pseud. (MRS GABRI- ELLE MARGARET [CAMPBELL] LONG)	Third estate.	1.75	1720	1279	3.0749999999999997
1+5377	INGERSOLL, WILL E.	Road that led home.	1.35	2780	5383	3.492857142857143
1+713	BARRY, ALFRED SCOTT, pleud.	Little girl who couldn't-get-over-it.	1.6	980	717	3.78
1+4363	GRAY, JOSLYN.	Elsie Marley, honey.	0.35	390	4365	2.8166666666666664
1+11458	WYLLARDE, DOLF.	Pathetic snobs.	1.5	3070	11473	3.79375
1+2388	COOKE, MORRIS LLEWELLYN.	Our cities awake.	2.5	1280	2391	3.3375000000000004
1+7585	NEMIROVICH-DANTCHENKO, VLADIMIR IVANOVICH.	Peasant tales of Russia; tr.	1.25	430	7587	3.6666666666666665
1+2506	COUPERUS, LOUIS MARIE ANNE.	Dr Adriaan; tr.	1.5	3300	2510	3.6
1+3703	FOOTE, .CHARLES ELMER.	Practical road building.	1.25	160	3707	3.6700000000000004
1+10693	WALLER, MARY ELLA.	Out of the silences.	1.5	1920	10699	3.1285714285714286
1+4631	HARBEN, WILLIAM NATHANIEL.	Hills of 2 refuge.	0	360	4631	3.0
1+7387	MORRISON, MICHAEL A.	Sidelights on Ger- many.	1.0	1000	7389	2.966666666666667
1+8792	RIDEOUT, HENRY MILNER.	Tin Cowrie ' Dass.	1.25	540	8794	3.8166666666666664
1+11143	WHITEHEAD, HAROLD.	Dawson Black: re- tail merchant.	1.5	820	11146	3.8625
1+872	BENNETT, ARNOLD. (1%0)	Doran	0	12190	886	2.4600000000000004
1+3969	GATLIN, DANA.	Full measure of devotion.	0.5	210	3970	4.0
1+9416	SHEDD, GEORGE CLIFFORD.	Invisible en- emy.	1.4	840	9419	3.4749999999999996
1+4897	HERGESHEIMER, JOSEPH.	Gold and iron.	1.5	2840	4901	3.6
1+8221	PHILLPOTTS, EDEN.	Chronicles of St Tid.	1.5	4640	8233	3.880769230769231
1+279	ANDERSON, ROBERT GORDON.	Cross of ﬁre.	1.5	310	280	3.725
1+5320	HURRELL, F. G.	Dreamer under arms.	1.5	3110	5333	3.3678571428571433
1+11517	YOUNG, F. E. MILLS.	Laws of chance.	0	720	11521	3.0699999999999994
