author	date	titlewords
van vechten, carl	1925	firecrackers novel realistic
kalashnikoff, nicholas	1950	illustrated toyon arthur marokvia
kalashnikoff, nicholas	1944	siberian jumper
kalashnikoff, nicholas	1939	sword-
vring, georg von der	1929	german translated rifleman suhren
villa, josé garcía	1933	footnote o'brien philippines edward garcia tales
kneale, nigel	1949	elizabeth tomato foreword stories bowen
kantor, mackinlay	1948	primitive american wicked
kantor, mackinlay	1930	mackinley
kantor, mackinlay	1938	noise wings
kantor, mackinlay	1935	bugle
kantor, mackinlay	1950	signal thirty-two
kantor, mackinlay	1944	thrilling author's elucidations digressions choice adventures selected frankly editors stories copious explanations telling haunts
kantor, mackinlay	1934	decorations
kantor, mackinlay	1942	gentle annie,a
kantor, mackinlay	1937	romance illustrations ridge
knox, rose bell	1933	illustrated eugene iverd marty carolina
koestler, arthur	1946	thieves experiment chronicle
koestler, arthur	1943	arrival departure koeslter
koestler, arthur	1941	darkness daphne hardy
koestler, arthur	1942	blewitt trevor dialogue phyllis
veríssimo, erico	1947	karnoff lilies novel portuguese
veríssimo, erico	1943	crossroads kaplan
kimbrough, emily	1943	helen drawings hollywood hearts hokinson
wodehouse, p. g., (pelham grenville)	1924	conqueror invasion
wodehouse, p. g., (pelham grenville)	1939	uncle
wodehouse, p. g., (pelham grenville)	1936	bodkins
wodehouse, p. g., (pelham grenville)	1936	laughing
wodehouse, p. g., (pelham grenville)	1934	thank
wodehouse, p. g., (pelham grenville)	1937	blandings crime
wodehouse, p. g., (pelham grenville)	1938	woosters
wodehouse, p. g., (pelham grenville)	1940	beans crumpets
wodehouse, p. g., (pelham grenville)	1916	journalist
wodehouse, p. g., (pelham grenville)	1936	spats
wodehouse, p. g., (pelham grenville)	1940	quick
wodehouse, p. g., (pelham grenville)	1920	warrior
wodehouse, p. g., (pelham grenville)	1949	novel] mating season
wodehouse, p. g., (pelham grenville)	1929	novel
wodehouse, p. g., (pelham grenville)	1923	sally mostly
wodehouse, p. g., (pelham grenville)	1932	edited ogden
wodehouse, p. g., (pelham grenville)	1948	fever
wodehouse, p. g., (pelham grenville)	1923	offing
wodehouse, p. g., (pelham grenville)	1923	novels
wodehouse, p. g., (pelham grenville)	1923	binds
wodehouse, p. g., (pelham grenville)	1923	omnibus
wells, h. g. (herbert george)	1932	brain disaster stresses conflicts poses bulpington
wells, h. g. (herbert george)	1937	brynhild
wells, h. g. (herbert george)	1927	meanwhile picture
wells, h. g. (herbert george)	1916	britling frontispiece
wells, h. g. (herbert george)	1917	bishop
wells, h. g. (herbert george)	1936	miracles critical stover edited appendices
wells, h. g. (herbert george)	1937	croquet player
wells, h. g. (herbert george)	1930	autocracy parham changing remarkable
wells, h. g. (herbert george)	1940	darkling babes
wells, h. g. (herbert george)	1925	christina alberta's
wells, h. g. (herbert george)	1926	clissold angle
wells, h. g. (herbert george)	1938	apropos dolores
wells, h. g. (herbert george)	1940	ararat aboard
wells, h. g. (herbert george)	1937	biological fantasia
wells, h. g. (herbert george)	1918	peter
wells, h. g. (herbert george)	1919	undying
wells, h. g. (herbert george)	1939	terror
wells, h. g. (herbert george)	1938	brothers
wells, h. g. (herbert george)	1928	blettsworthy rampole
widdemer, margaret	1932	american stories
widdemer, margaret	1923	graven image
widdemer, margaret	1930	loyal lover
widdemer, margaret	1932	pre-war
widdemer, margaret	1930	horses king's
ward, christopher	1932	rhode 1821-24 rolling virginia massachusetts connecticut missouri pennsylvania kentucky indiana illinois
ward, christopher	1932	enemies tried yankee 1824-29 rover indifferent trail
feuchtwanger, lion	1943	caroline trouble
feuchtwanger, lion	1935	creighton basil india tales marianne
feuchtwanger, lion	1941	elisabeth france encounter devil abbott
feuchtwanger, lion	1945	stories
feuchtwanger, lion	1937	pretender
feuchtwanger, lion	1933	cleugh] novel [translated
feuchtwanger, lion	1940	gazette paris willa edwin
fitzell, lincoln	1947	county songs stories
white, anne terry	1941	adventures archaeology worlds
farrell, james t. (james thomas)	1947	adventurous
farrell, james t. (james thomas)	1937	grandeur perish
farrell, james t. (james thomas)	1941	rogers ellen
farrell, james t. (james thomas)	1939	gallagher's crusade tommy
farrell, james t. (james thomas)	1943	anger
farrell, james t. (james thomas)	1946	clare bernard
farrell, james t. (james thomas)	1944	concern
farrell, james t. (james thomas)	1950	american dream
cobb, irvin s. (irvin shrewsbury)	1928	romantic aboard
cobb, irvin s. (irvin shrewsbury)	1932	yonder
cobb, irvin s. (irvin shrewsbury)	1926	$24.00
cobb, irvin s. (irvin shrewsbury)	1924	cross-sections average fourteen brehm goin'
cobb, irvin s. (irvin shrewsbury)	1944	writings zevin cavalcade edited cobb's selection
cobb, irvin s. (irvin shrewsbury)	1937	turns detective
cobb, irvin s. (irvin shrewsbury)	1916	local color
cobb, irvin s. (irvin shrewsbury)	1934	charity
cobb, irvin s. (irvin shrewsbury)	1927	ladies
cobb, irvin s. (irvin shrewsbury)	1919	preston
cobb, irvin s. (irvin shrewsbury)	1925	alias alibi
cobb, irvin s. (irvin shrewsbury)	1933	panic
cobb, irvin s. (irvin shrewsbury)	1926	prose
cobb, irvin s. (irvin shrewsbury)	1927	herbert chivalry stoops
cobb, irvin s. (irvin shrewsbury)	1929	likker
cobb, irvin s. (irvin shrewsbury)	1922	poindexter colored
whittaker, james c	1943	lieutenant eddie pacific plane angels sketches sheahan rickenbacker ordeal rescue
fast, howard	1945	patrick frigate's
fast, howard	1946	american legend
fast, howard	1949	departure
fast, howard	1950	proud
fast, howard	1947	clarkton
fast, howard	1939	conceived forge valley
fast, howard	1943	paine citizen
fast, howard	1941	frontier foreword doren
fast, howard	1942	unvanquished
