author	date	titlewords
patchen, kenneth	1945	memoirs amusement pornographer
pritchett, v. s. (victor sawdon)	1945	happen stories
pritchett, v. s. (victor sawdon)	1935	leather
pritchett, v. s. (victor sawdon)	1937	novel
hubbard, lucien	1942	rivers american
felton, harold w	1949	pecos texas watson illus cowpuncher aldren
krasnov, p. n. (petr nikolaevich)	1926	gerhardi law-gisiko eagle
krasnov, p. n. (petr nikolaevich)	1931	nicolaevitch napoleon peter cossacks
krasnov, p. n. (petr nikolaevich)	1930	brock foreword irving tsytovitch natalie
krasnov, p. n. (petr nikolaevich)	1930	novel
frisbie, robert dean	1945	romance amaru
frisbie, robert dean	1939	moonlight's
day, clarence	1935	mesozoic scenes drawings
dos passos, john	1946	howard decorations
dos passos, john	1939	adventures
dos passos, john	1945	encounter
dos passos, john	1949	design
dos passos, john	1938	journeys
dos passos, john	1925	manhattan transfer
dos passos, john	1920	initiation--1917
dos passos, john	1921	soldiers
hurst, fannie	1921	american star-dust
hurst, fannie	1922	vertical
hurst, fannie	1923	lummox
chambers, robert edward stuart	1937	alligator
borchardt, hermann	1943	franz werfel mussey conspiracy foreword accounting ruling carpenters translated barrows
dunphy, jack	1946	novel
campbell, a. b. (archibald bruce)	1937	adventurous corners commander
chandler, raymond	1946	spanish collection stories
chandler, raymond	1950	editor's introd murder nelson
chandler, raymond	1943	goodbye hiney playback
crabb, alfred leland	1946	occupied lodging cloud saint
crabb, alfred leland	1942	belmont dinner captured
crabb, alfred leland	1943	recaptured maxwell supper
crabb, alfred leland	1945	breakfast hermitage rebuilding
nathan, robert	1947	whittle
nathan, robert	1938	tapiola decorations salter georg
nathan, robert	1942	sea-gull
nathan, robert	1938	april
nathan, robert	1936	enchanted voyage
nathan, robert	1939	portrait jennie
nathan, robert	1927	woodcutter's
nathan, robert	1921	autumn
nathan, robert	1943	gently
nathan, robert	1941	brave illustrated wiese tapiola's regiment
nathan, robert	1928	bishop's
nathan, robert	1923	puppet
nathan, robert	1931	orchid
cooper, kent	1946	zenger
davis, h. l. (harold lenoir)	1947	strings
davis, h. l. (harold lenoir)	1949	beulah
chiang, yee	1938	lakeland herbert silent chinese preface traveller artist
chiang, yee	1943	burma illustrated
jacobs, w. w. (william wymark)	1931	stories collected harbour
jacobs, w. w. (william wymark)	1926	illustrated thomas whispers,w
johnson, owen	1931	scientific civilization amazons satiristic speculation
johnson, owen	1922	skippy urchin ernest sentimental bedelle
johnson, owen	1918	virtuous wives taffs
ferrero, guglielmo	1929	livingston elisabeth arthur vices authorized novel translation italy abbott
delavigne, jeanne	1946	ghost lavigne illustrations stories orleans richards
johnston, harry hamilton, sir	1920	movement daughter warren's woman's
johnston, harry hamilton, sir	1921	romance
johnston, harry hamilton, sir	1919	gay-dombeys wells preface
johnston, harry hamilton, sir	1922	veneerings
baroness, boecop-malye, marie thérèse colette van	1942	dutch indies novel roots
roth, joseph	1931	thompson dorothy rothtranslated
roth, joseph	1934	guest tarabas
roth, joseph	1930	flight collaboration beatrice david translated musgrave
hooker, forrestine cooper	1921	bernard bogue illustrations
hervey, harry	1922	caravans romance india
hervey, harry	1947	veiled fountain
hervey, harry	1941	eternity
hervey, harry	1931	widow
goldring, douglas	1917	romance friendship
campbell, william	1936	police patrols mounted canadian stories arctic
calverton, v. f. (victor francis)	1936	adventures allen illustrations inside xulus steele alston
gaines, ruth louise	1916	japan treasure flower
frank, josef maria	1932	divided fever germany drama translated
ekrem, selma	1931	turkish unveiled autobiography
fane, anthony	1931	"wycliffe-pepin ""double merrile shooting court"""
eisenberg, frances	1942	drawings boyle uncle
eisenberg, frances	1941	bacon peggy illustrated there's
fønhus, mikkjel	1931	spitzbergen lights jayne edith translated
fønhus, mikkjel	1923	trail harry rountree
nabokov, vladimir vladimirovich	1941	sebastian knight
nabokov, vladimir vladimirovich	1947	sinister
nabokov, vladimir vladimirovich	1938	laughter novel
newman, bernard	1940	maginot murder pontivy
newman, bernard	1936	german
macnamara, brinsley	1919	valley windows squinting
bernhard, josephine butkowska	1944	adapted folktale washes polish pussy-cat illus lullaby lorentowicz irena
caldwell, erskine	1942	warfare russia guerrilla
caldwell, erskine	1935	rising kneel
caldwell, erskine	1949	estherville
caldwell, erskine	1940	trouble
caldwell, erskine	1933	god's
caldwell, erskine	1950	palmetto episode
caldwell, erskine	1933	brief
caldwell, erskine	1944	tragic
caldwell, erskine	1931	american
caldwell, erskine	1932	tobacco
caldwell, erskine	1936	ralph engravings frizzell sacrilege
caldwell, erskine	1938	southways
caldwell, erskine	1940	jackpot
caldwell, erskine	1944	lathem edward selections chosen connery
caldwell, erskine	1944	canby introduced critical foreword selected seidel representative twenty-four
new, clarence herbert	1918	lance pettee adventures illustrated diplomatic clinton
de la mare, walter	1950	introd edward chosen wagenknecht tales collected
de la mare, walter	1936	blows
hannah, ian c. (ian campbell)	1916	romance quaker-born campbell
coffin, howard macy	1943	officer coffic malta experiences endpaper based pages diary sample flying
coates, robert m. (robert myron)	1943	stories
coates, robert m. (robert myron)	1948	wisteria cottage
dorson, richard m. (richard mercer)	1950	america introd edited american begins
hamilton, cosmo	1917	autobiography chapters mainwaring mcmillan novelist babies
hamilton, cosmo	1931	comedy tragic damned
hamilton, cosmo	1919	richard culter adolescence cares
hamilton, cosmo	1920	quaker novel colony robert stewart
hamilton, cosmo	1925	paradise
hewlett, maurice henry	1918	america discovery gudrid
hewlett, maurice henry	1920	mainwaring
hewlett, maurice henry	1916	[illustrations greiffenhagen]
hewlett, maurice henry	1917	thorgils
blackburn, william	1945	clare illustrated pupils selected verse designed leighton 1924-1945 narrative
furman, lucy s	1923	kentucky mountains
furman, lucy s	1925	glass window
furman, lucy s	1927	lonesome
burnett, whit	1944	edited stories
neumann, alfred	1931	murder paterson huntley
neumann, alfred	1935	caesar
neumann, alfred	1930	stories haber
neumann, alfred	1940	countess wydenbruck
neumann, alfred	1933	blewitt fools mirror phyllis trevor
nichols, walter hammond	1927	cowboy illustrated deyong odyssey
benét, stephen vincent	1943	poems circle
benét, stephen vincent	1934	daughter shore's
benét, stephen vincent	1938	fool-killer drawings johnny
benét, stephen vincent	1939	tales midnight
benét, stephen vincent	1937	worlds o'clock thirteen
benét, stephen vincent	1926	spanish bayonet
benét, stephen vincent	1923	huguenot
benét, stephen vincent	1942	selected
benét, stephen vincent	1937	harold illustrated daniel denison webster devil
hughes, rupert	1920	unimportant momma
hughes, rupert	1916	clipped wings
hughes, rupert	1917	everything can't
hughes, rupert	1918	flagg unpardonable montgomery
hughes, rupert	1928	lovely ducklings
hughes, rupert	1919	raleigh cities shipyards
hughes, rupert	1930	ladies'
blair, walter	1944	heroes america humorous illustrated legendary rounds
norris, charles gilman	1930	birth novel control]
norris, charles gilman	1938	straw bricks
norris, charles gilman	1916	amateur
norris, charles gilman	1927	marsh zelda
noble, edward	1929	pulse darkness
noble, edward	1915	bottle-fillers
noble, edward	1917	outposts fleet stories merchant
rhodes, eugene manlove	1927	saddle
rhodes, eugene manlove	1922	streak copper trail
rhodes, eugene manlove	1934	desert
schwarz, leo w. (leo walder)	1935	twenty-five centuries jewish selected edited caravan stories
romanov, panteleĭmon	1931	graham pairs leonide novel soviet edited educated zarine stockings stephen
romanov, panteleĭmon	1934	volga stories gretton
romanov, panteleĭmon	1930	cherry blossom
romanov, panteleĭmon	1933	valentine commandment
evarts, hal g. (hal george)	1921	stories animal
evarts, hal g. (hal george)	1922	settling douglas
evarts, hal g. (hal george)	1926	stallion painted
evarts, hal g. (hal george)	1921	livingston yellow horde
costain, thomas b. (thomas bertram)	1950	nineties novel
costain, thomas b. (thomas bertram)	1949	towers
costain, thomas b. (thomas bertram)	1942	novels folly famous
gill, elizabeth	1931	coast mystery murder crime riviera
flavin, martin	1941	german soldier parachute corporal
flavin, martin	1943	journey
flavin, martin	1940	littlejohn
fineman, irving	1941	jacob novel autobiographical
fineman, irving	1939	doctor addams
fineman, irving	1932	lovers learn,by
roberts, kenneth lewis	1933	burgoyne invasion
roberts, kenneth lewis	1937	northwest
roberts, kenneth lewis	1940	wiswell oliver
roberts, kenneth lewis	1947	bailey lydia
roberts, kenneth lewis	1931	novels
roberts, kenneth lewis	1931	circular dartmoor privateering prison
charlton, moyra	1930	tally lionel hunter lonsdale illustrated edwards irish
wright, richard	1945	childhood
wright, richard	1938	tom's stories uncle
burlingame, roger	1941	whitney whittling
burlingame, roger	1935	cartwheels
coburn, kathleen	1949	drawings grandmothers
bailey, bernadine	1941	lincoln lincoln's illustrated howard sarah simon
cicellis, kay	1950	foreword sackville-west
dyer, george bell	1936	murder catalyst mystery
fabricius, johan	1945	vesuvius sunshine novel hotel grapes
fabricius, johan	1935	lions naples starve
fabricius, johan	1936	marietta
hull, helen r. (helen rose)	1936	uncommon
hull, helen r. (helen rose)	1943	mayling chiang soong
hull, helen r. (helen rose)	1947	octave
hull, helen r. (helen rose)	1933	perennial hardy
hull, helen r. (helen rose)	1946	flight hawk's
hull, helen r. (helen rose)	1932	lightning
hull, helen r. (helen rose)	1936	candle indoors
hull, helen r. (helen rose)	1930	asking
hull, helen r. (helen rose)	1939	frost
hull, helen r. (helen rose)	1939	forest
hull, helen r. (helen rose)	1943	circle
perutz, leo	1930	mosbacher
perutz, leo	1930	hedwig singer
ferber, edna	1947	thirty-one basket
ferber, edna	1941	saratoga trunk
ferber, edna	1938	nobody's
ferber, edna	1931	woodcut rudolph american decorations ruzicka
ferber, edna	1920	portions
ferber, edna	1927	fiction
ferber, edna	1926	novel
ferber, edna	1930	cimarron
ferber, edna	1922	gigolo
russell, charlotte murray	1935	murder
brown, joe david	1947	decorations hulse gould stars
weld, john	1941	california pardners
weld, john	1942	sabbath negro slavery
gale, elizabeth	1934	illustrated katrina marguerite angeli
cavanagh, dermot	1928	tammany romance career
wiener, willard	1942	america sharp decorated
fleming, peter	1940	drawings flying david
bailey, h. c. (henry christopher)	1942	omnibus
bailey, h. c. (henry christopher)	1942	clunk nobody's joshua vineyard
bailey, h. c. (henry christopher)	1932	castle
bailey, h. c. (henry christopher)	1919	gamesters
bailey, h. c. (henry christopher)	1936	railey
bailey, h. c. (henry christopher)	1922	serene highness
bailey, h. c. (henry christopher)	1946	sentence
bailey, h. c. (henry christopher)	1937	twittering
bailey, h. c. (henry christopher)	1935	objects
bailey, h. c. (henry christopher)	1917	highwayman
bailey, h. c. (henry christopher)	1930	murder garston
bailey, h. c. (henry christopher)	1942	apprehensive
west, don	1946	broadside drawings harold
fox, genevieve may	1937	susan forrest mountains illustrations
cannon, blanche	1948	happens sunday
crone, anne	1948	bridie steen introd dunsany
hutchinson, vere	1928	stories
hutchinson, vere	1922	wrack
hutchinson, vere	1929	freight
hutchinson, vere	1925	naked
hume, cyril	1927	malcontents,and stories
hume, cyril	1923	cantaur
hume, cyril	1925	fellowship cruel
hume, cyril	1926	dancer
herron, vennette	1927	peacocks stories
gelzer, jay	1921	delights
cain, james m. (james mallahan)	1934	postman rings
cain, james m. (james mallahan)	1941	mildred pierce
cain, james m. (james mallahan)	1942	love's counterfeit lovely
cain, james m. (james mallahan)	1947	butterfly
cain, james m. (james mallahan)	1937	serenade
warren, robert penn	1950	novel romantic
warren, robert penn	1947	circus attic
warren, robert penn	1946	king's
warren, robert penn	1943	heaven's
warren, robert penn	1939	rider
hendryx, james b. (james beardsley)	1925	breed
hendryx, james b. (james beardsley)	1930	mounted novel corporal downey yukon trail
hendryx, james b. (james beardsley)	1920	flowers prairie
hendryx, james b. (james beardsley)	1922	snowdrift
fox, fannie ferber	1935	chocolate vanilla stories
meacham, allen	1916	fulfilment belle jones
williams, charles	1945	introd eliot
fortescue, winifred (beech)	1937	perfume provence sunset
wallach, ira jan	1947	rubens peter-paul novel based roses
hellström, gustaf	1931	lekholm translated lacemaker
ellsworth, franklin f. (franklin fowler)	1921	band-wagon novel middle-america
mcconn, max	1920	mollie's husband substitute
hanley, james	1931	powys cowper stories preface darkness
hanley, james	1936	journey
hanley, james	1935	stoker
glanville, ernest	1925	bushman illus hunter abbey
faulkner, william	1938	edward unvanquished shenton drawings
faulkner, william	1936	faulkner] typescript miscellaneous material setting
faulkner, william	1934	martino holograph manuscripts thomas doctor mchaney typescripts
faulkner, william	1929	hughes
faulkner, william	1948	intruder
faulkner, william	1929	foreword appendix
faulkner, william	1932	blotner joseph
faulkner, william	1932	rovere
faulkner, william	1926	soldiers'
faulkner, william	1946	portable cowley malcolm
faulkner, william	1931	afterword
faulkner, william	1929	sartoris
faulkner, william	1940	hamlet
chamoud, simone	1933	black-and-white picture illustrations gilkison tales thirty-one
wedeck, harry ezekiel	1947	mortal novel based hearn hunger lafcadio
ellis, havelock	1922	idyll australian
hartley, dorothy	1930	saintsbury anthology mediaeval
carter, george goldsmith	1948	smacksmen borough fishermen
kaufman, lenard	1948	novel irony belief
kaufman, lenard	1949	tender mercy
kaufman, lenard	1950	jubel's
bishop, jim	1945	wister wynne novel glass biographical crutch
morgan, helen l	1946	mistress illustrated dolly madison phyllis
sangster, margaret elizabeth	1931	calvary bethlehem
lewis, c. s. (clive staples)	1950	witch baynes pauline wardrobe illustrated
olcott, virginia	1931	constance france fanchon illustrations whittemore
orcutt, william dana	1931	dagger gorgeous benvenuto adventures cellini jewels romantic
orcutt, william dana	1922	today balance
poole, ernest	1925	sketches russian
poole, ernest	1921	beggars'
poole, ernest	1927	silent storms
poole, ernest	1925	abram decie design illustrated merwin hunter's
poole, ernest	1933	winds
poole, ernest	1924	avalanche
poole, ernest	1922	millions
marshall, bruce	1945	flesh smith
marshall, bruce	1931	meaning miracle earthly malachy's heavenly
marshall, bruce	1946	tapers paris yellow
marshall, bruce	1949	penny
marshall, bruce	1926	venus stooping
bates, ralph	1934	episode
bates, ralph	1950	dolphin
bates, ralph	1942	undiscoverables
bates, ralph	1940	paradise fields
bates, ralph	1939	sirocco
bates, ralph	1937	rainbow
bates, ralph	1936	olive
leacock, stephen	1943	laugh stories
leacock, stephen	1932	utopia tales afternoons
leacock, stephen	1938	memoirs serious sketches model
leacock, stephen	1931	humour distilled pages
leacock, stephen	1934	edited salesman
marais, josef	1945	tales illustrated stahlhut hottentot
alegría, ciro	1941	spanish alegría alien harriet onís translated
lucas, e. v. (edward verrall)	1930	entertainment
lucas, e. v. (edward verrall)	1920	verena midst
lucas, e. v. (edward verrall)	1922	genevra's
lucas, e. v. (edward verrall)	1923	advisory
miers, earl schenck	1943	valley settlement connecticut
martin, helen reimensnyder	1932	portrait anderson
martin, helen reimensnyder	1930	yoked stories
martin, helen reimensnyder	1933	pillar
martin, helen reimensnyder	1931	porcelain
martin, helen reimensnyder	1930	tender talons
martin, helen reimensnyder	1935	deliverance
martin, helen reimensnyder	1937	dutch pennsylvania untamed
sowers, phyllis (ayer)	1944	illustrated philippines sails swords margaret
bates, h. e. (herbert ernest)	1934	imagination
bates, h. e. (herbert ernest)	1928	day's
bates, h. e. (herbert ernest)	1949	jacaranda
bates, h. e. (herbert ernest)	1929	alexander
bates, h. e. (herbert ernest)	1931	charlotte's
bates, h. e. (herbert ernest)	1929	foster catherine
bates, h. e. (herbert ernest)	1932	boxer
bates, h. e. (herbert ernest)	1935	poacher
lehman, agnes c	1931	village rhine pictures milly rhens
bell, pearl doles	1919	brehm sawdust illustrated elephant
adamic, louis	1936	cradle beginnings
adamic, louis	1935	american grandsons
malvern, gladys	1943	corinne illustrated harry minstrel valiant lauder
malvern, gladys	1942	dancing
murray, kenneth malcolm	1932	polish poland wings (kosciuszko) squadron
anderson, david	1919	flatwoods frontispiece
moore, anne carroll	1932	everen drawings goose nicholas
bradford, roark	1934	dixie stories
bradford, roark	1937	angel three-headed
bradford, roark	1929	drawings erick berry jordan
morley, christopher	1944	louis writings variety morley's greenfield selection
morley, christopher	1939	kitty foyle
morley, christopher	1919	bookshop
morley, christopher	1930	rudolph amina crook
morley, christopher	1931	christmas howard willard decorations don't
morley, christopher	1921	rolltop duncan walter tales frontispiece
morley, christopher	1932	swiss manhattan
morley, christopher	1925	thunder
morley, christopher	1917	hookshop
morley, christopher	1927	pleased
morley, christopher	1925	translated fables
abdullah, achmed	1919	gentleman honourable
abdullah, achmed	1919	trail beast
abdullah, achmed	1925	caravan,by swinging
abdullah, achmed	1917	tiger bucking
abdullah, achmed	1919	horseback
abdullah, achmed	1927	steel
abdullah, achmed	1920	shackles sheehan survive symposium unique chain brand ten-foot
paul, elliot	1924	imperturbe victory
paul, elliot	1930	governor massachusetts
paul, elliot	1922	indelible
paul, elliot	1923	movements impromptu
millar, george reid	1946	waiting leaders maquis
millar, george reid	1946	horned pigeon
masefield, john	1931	tales minnie maylow's scenes
masefield, john	1940	empress basilissa theodora
masefield, john	1937	fella
masefield, john	1933	dawning
masefield, john	1927	midnight
masefield, john	1935	angel victorious hurrying
masefield, john	1919	muster tarpaulin
masefield, john	1938	recovered corpse autobiography coast
masefield, john	1941	byzantium conquer rebellion
masefield, john	1924	harker
hsieh, tehyi	1948	chinese village tales
tamás, istván	1942	brigades chetnik nikola sergeant
tamás, istván	1944	lated spalato trans katherine dohanos hungarian students kovách
brady, cyrus townsend	1916	pictures fantasy christmas walter everett
brady, cyrus townsend	1915	frontier
terrell, john upton	1942	pathfinders novel plume rouge
parry, edward abbott, sir	1928	berrington honour
roupnel, gaston	1919	(nono)
o'faoláin, seán	1932	madness stories midsummer
o'faoláin, seán	1940	(john novel whelan)
schnitzler, arthur	1928	chronicle theresa woman's
schnitzler, arthur	1927	schinnerer novel dream rhapsody
schnitzler, arthur	1931	flight darkness
schnitzler, arthur	1923	authorized horace samuel translation
schnitzler, arthur	1926	none brave
schnitzler, arthur	1927	daybreak york]
schnitzler, arthur	1931	viennese wiese novelettes illustrations
latimer, margery	1932	louis loughridge afterwords nancy angel sueur stories meridel guardian kampf
o'brien, edward joseph harrington	1932	1915-1939
o'brien, edward joseph harrington	1937	tales elizabethan
taylor, ross mclaury	1942	texas saddle
taylor, ross mclaury	1938	brazos southwest 1876-1885
mann, klaus	1948	symphony pathetic tchaikovsky
mann, klaus	1930	utopia alexander
asch, sholem	1917	mottke ganef) edited (mottke sholom vagabond
asch, sholem	1938	not-- lederer's novelsuncle chaim
asch, sholem	1949	steinberg
asch, sholem	1933	cities trilogy
asch, sholem	1942	stories
asch, sholem	1920	authorized yiddish
asch, sholem	1930	nathan ludwig lewisohn ausubel preface
asch, sholem	1946	gross
asch, sholem	1939	valley
asch, sholem	1943	apostle
asch, sholem	1948	levin tales meyer
macdougall, arthur raymond	1947	weiler flows illus kennebec tales milton
sanderson, ivan terence	1941	treasure thirty-two illustrations
sanborn, pitts	1929	donna prima opera novel
mckenzie, vernon	1935	"collier's market successful harper's ""first"" bazaar saturday stories"
mitchell, james leslie	1931	cairo dawns cycle
mitchell, james leslie	1932	introduced campbell trumpet
margueritte, v. (victor)	1923	"garçonne"" bachelor translated burnaby"
bill, alfred hoyt	1929	revolution adventures illustrated legacy prior's american
macgowan, kenneth	1931	detectives twenty-three sleuths edited stories fiction
mcspadden, j. walker (joseph walker)	1947	center novel storm johnson
mcspadden, j. walker (joseph walker)	1920	psychic stories famous
roberts, walter adolphe	1946	brave mardi
roberts, walter adolphe	1941	pomegranate
roberts, walter adolphe	1948	creole
briffault, robert	1935	ignorance
briffault, robert	1937	limbo
briffault, robert	1947	martin
briffault, robert	1940	fandango
heyerdahl, thor	1950	photographs illustrated pacific kon-tiki across translated
monsarrat, nicholas	1947	depends
monsarrat, nicholas	1945	cancelled
linklater, eric	1933	coalbiter's thorlief
linklater, eric	1938	impregnable
linklater, eric	1937	holiday sailor's
linklater, eric	1946	angelo
linklater, eric	1949	bones spell
linklater, eric	1930	poet's
alfau, felipe	1936	comedy gestures locos
rich, louise dickinson	1949	maine start trail
rich, louise dickinson	1950	woods
reynolds, john murray	1947	perkins
oemler, marie (conway), mrs	1929	carolina johnny
oemler, marie (conway), mrs	1917	mcgee slippy butterfly
oemler, marie (conway), mrs	1928	comedy sheaves manners
oemler, marie (conway), mrs	1931	thorn flower
oemler, marie (conway), mrs	1919	smith named
la farge, oliver	1935	stories
la farge, oliver	1931	upward sparks
la farge, oliver	1933	pennant
la farge, oliver	1937	enemy
murasaki shikibu	1928	trousers
murasaki shikibu	1927	genji' cloud wreath
murasaki shikibu	1925	edward seidensticker
murasaki shikibu	1925	tyler royall
murasaki shikibu	1932	byarthur
lederer, virginia	1944	alajalov leisure drawings married
acland, peregrine	1929	passion folly madox preface
trumbo, dalton	1941	andrew chronicle literal remarkable
trumbo, dalton	1939	johnny
stuart, jesse	1944	autobiography mongrel ishmael woodi mettle
stuart, jesse	1950	hunters
stuart, jesse	1950	clearing stories
stuart, jesse	1943	tussie thomas benton
stringer, arthur john arbuthnott	1936	traders
lavin, mary	1947	sallygap stories
lavin, mary	1945	clewe
lavin, mary	1942	bridge bective tales
meersch, maxence van der	1934	looms blossom silent frederick
meersch, maxence van der	1937	potter hopkins gerard
maltz, albert	1938	michael stories
maltz, albert	1940	novel underground moment stream american
maltz, albert	1944	arrow
meier-graefe, julius	1933	vincent translated biographical holroyd-reece
rowell, adelaide corinne	1948	davis jordan's scout novel confederate banks stormy
laing, alexander	1944	murray witch clipper roger american narrative
loving, pierre	1931	gardener baudelaire portrait
oskison, john m. (john milton)	1925	harvest oklahoma transition novel
oskison, john m. (john milton)	1935	brothers
bullett, gerald william	1925	tales baker's
bullett, gerald william	1929	nicky
bullett, gerald william	1936	snare fowler
bullett, gerald william	1941	cat's
bullett, gerald william	1933	poulton novel headpieces quick
lay, beirne	1945	colonel survival commander group
southgate, dora hilda	1938	indian 1876-1936
singer, israel joshua	1938	breaks stories
singer, israel joshua	1936	ashkenazi brothers
bunin, ivan alekseevich	1923	dreams chang
bunin, ivan alekseevich	1935	selected elaghin affair
bunin, ivan alekseevich	1934	cournos grammar
bunin, ivan alekseevich	1926	mitya's madelaine ernest
le fort, gertrud, freiin von	1934	leone ghetto legend
le fort, gertrud, freiin von	1932	veronica
maurois, andré	1934	tales andré ricochets miniature
maurois, andré	1949	novels novelettes introd reader fremantle stories
maurois, andré	1919	colonel silence
maurois, andré	1929	carrick david edward engravings garnett voyage articoles
maurois, andré	1931	weigher souls
mcnally, william	1936	roofs
mcnally, william	1932	vanished splendor
matschat, cecile hulse	1938	suwannee illustrated alexander
scott, peter	1936	flight illustrated wildfowl
sinclair, upton	1947	mission
sinclair, upton	1944	agent
sinclair, upton	1941	worlds
sinclair, upton	1945	harvest dragon
sinclair, upton	1942	dragon's teeth
sinclair, upton	1930	citya
sinclair, upton	1938	steel
sinclair, upton	1940	world's
sinclair, upton	1931	parade
sinclair, upton	1917	brandes georg
sinclair, upton	1938	moderns parable
lim, sian-tek	1948	arthur illus tales china smith
armstrong, martin donisthorpe	1934	miracle buntop's
armstrong, martin donisthorpe	1929	fiery
mann, thomas	1941	transposed india legend
mann, thomas	1927	zauberberg> mountain magic
mann, thomas	1940	returns weimar lotte beloved
mann, thomas	1936	decades
mann, thomas	1930	magician mario lowe-porter] [translated
mann, thomas	1924	burke kenneth
mann, thomas	1944	provider
mann, thomas	1934	brothers
mann, thomas	1930	herman scheffauer sorrow
mann, thomas	1945	tables
mann, thomas	1934	lithographs nocturnes
mann, thomas	1925	kröger writings harold frederick tonio foreword edited bloom lubich
mann, thomas	1938	egypt
olden, balder	1930	africa exotic german novel lorna dietz translated virgin
anderson, sherwood	1921	impressions mitchell photographs triumph poems tennessee eugene hutchinson
anderson, sherwood	1933	woods stories
anderson, sherwood	1919	introd cowley malcolm
anderson, sherwood	1923	marriages
anderson, sherwood	1919	group ernest
anderson, sherwood	1925	laughter
anderson, sherwood	1936	portrait brandon
anderson, sherwood	1920	novel whitea
black, elizabeth best	1933	strangely mystery riddle peter ravenelle
lawson, robert	1947	decorations
maass, edgar	1942	devil declining chivalry pedro
maass, edgar	1950	paradise romance years'
maass, edgar	1946	venus sister favorite imperial napoleon's
bertrand, adrien	1917	"1916) lewis sol""--prix goncourt (""l'appel"
lofting, hugh	1947	doctor illustrated dolittle
schneider, isidor	1947	judas
murray, d. l. (david leslie)	1940	baroque cities novel
murray, d. l. (david leslie)	1938	mists commander
marshal, edison	1926	herbert alaska marshall illustrated stoops
bercovici, konrad	1921	romances gypsy ghitza
bercovici, konrad	1926	singing winds gipsy stories
bercovici, konrad	1925	novel guest
bercovici, konrad	1928	peasants
bercovici, konrad	1947	exodus
lewis, warfield	1944	america league auspices forces cartoons fighting edited stories armed
bacheller, irving addison	1927	romance christ
bacheller, irving addison	1917	clearing
bacheller, irving addison	1922	richard
bacheller, irving addison	1920	village prodigal
bacheller, irving addison	1919	builders democracy
bacheller, irving addison	1925	abraham
bacheller, irving addison	1923	to-day scudders
bacheller, irving addison	1933	uncle
bacheller, irving addison	1934	harvesting
milburn, george	1933	trumpets stories
milburn, george	1931	oklahoma
milburn, george	1936	catalogue [by]george novel
sterne, emma gelders	1939	pirate simont chatham
sterne, emma gelders	1934	junker calico
sterne, emma gelders	1932	dorothy decorations surrender
biddle, livingston	1950	philadelphia novel
macmanus, seumas	1939	bennett world's illus richard tales
macmanus, seumas	1919	behold mabel illustrations
macmanus, seumas	1935	blades donegal
santayana, george	1936	puritan novel memoir
anderson, robert gordon	1922	untrodden uncharted shores
anderson, robert gordon	1918	today
simpson, lola jean	1927	california
simpson, lola jean	1929	treadmill
lehmann, lotte	1945	interpretation songs [translated singing frances holden]
hoffmann, eleanor	1947	illustrated kreis channel princess isles
stansbury, jean	1943	photographs jackie martin shoulders
harris, bernice kelly	1948	roanoke novel hearthstones carolina
harris, bernice kelly	1945	quarter
vachell, horace annesley	1917	fishpingle romance countryside
vachell, horace annesley	1920	dimension
vachell, horace annesley	1918	happenings
vachell, horace annesley	1916	triumph
vachell, horace annesley	1924	quinney's adventures
vachell, horace annesley	1918	yellam susan
vachell, horace annesley	1926	exile
mckeown, martha (ferguson)	1950	american '70's
hogeboom, amy	1948	floethe lewis introd richard tales decorations fro.m
macdonald, philip	1931	riddle polferry detective
macdonald, philip	1931	detection exercise
macdonald, philip	1931	conductor crime colonel adventure
macdonald, philip	1931	rynox murder mystery
dyer, walter a. (walter alden)	1916	gulliver stories
dyer, walter a. (walter alden)	1917	babbits bonnyacres illustrated back-to-the-landers
sale, richard	1942	birth burial
sale, richard	1942	lazarus
munby, a. n. l. (alan noel latimer)	1950	alabaster stories ghost
baptist, r. hernekin, pseud	1931	negresses voyage handsome
verrill, a. hyatt (alpheus hyatt)	1932	barton's decorations mills pioneers
verrill, a. hyatt (alpheus hyatt)	1916	forest fight marooned primitive
sklar, george	1947	truro worlds johnny
mckenna, stephen	1922	well-meaning confessions
mckenna, stephen	1919	sheila intervenes
mckenna, stephen	1919	married
mckenna, stephen	1930	morley redemption darville
mckenna, stephen	1925	tales intrigue revenge,by
mckenna, stephen	1924	to-morrow
mckenna, stephen	1917	ninety-six hours'
mckenna, stephen	1923	moses commandment
mckenna, stephen	1927	secretary
mckenna, stephen	1926	saviours
mckenna, stephen	1929	shadow denver
mckenna, stephen	1917	worlds
mckenna, stephen	1928	reckoning
mckenna, stephen	1922	victory
mckenna, stephen	1923	vindication
mckenna, stephen	1920	sensationalists novelbeong
mckenna, stephen	1926	oldest
mckenna, stephen	1922	soliloquy
mckenna, stephen	1932	phœnix
lowndes, marion s	1941	america illustrated chappell warren ghosts
updegraff, allan	1918	novel revellers intruding modernistic strayed
menen, aubrey	1950	backward scherzo sicilian bride
menen, aubrey	1949	stumbling
menen, aubrey	1947	prevalence novel witches
stoll, dennis gray	1947	doctor india tragi-comedy dragon british
wood, michael	1915	weaver tales willow
bentley, e. c. (edmund clerihew)	1950	enigma elephant's
swarthout, gladys	1943	tomorrow singer
orliac, jehanne d'	1935	husband chatterley's
undset, sigrid	1945	frederick illustrated chapman edited compiled tales untrue norse
