seq	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	isfiction	howpositive	genresnamed	comments
19	1906	8903336	The Voyage of the Arrow.	The Athenaeum	Hains, T. Jenkins (Thornton Jenkins)	1906	The voyage of the Arrow : to the China Seas ; its adventures and perils, including its capture by Sea Vultures from the Countess of Warwick, as set down by William Gore, Chief Mate	y	3	romantic tale|sea-story	
20	1901	6810086	LOVE IDYLLS.	The Academy, 1869-1902, 0269-333X	Crockett, S. R. (Samuel Rutherford)	1901	Love idylls	y	2		
21	1907	3165111	THE EIGHT GUESTS.	The Bookman	White, Percy	1907	The eight guests	y	4		
22	1898	6770460	Pratt Portraits: Sketched in a New England Suburb.	The Academy, 1869-1902, 0269-333X	Fuller, Anna	1897	Pratt portraits, sketched in a New England suburb	y	3	short stories	
23	1828	8919149	The Kuzzilbash; a Tale of Khorasan.	The Atheneaum. London literary and critical journal, Jan. 2, 1828-July 23, 1828	Fraser, James Baillie	1828	The Kuzzilbash. A tale of Khorasan	y	4		
24	1826	5205297	Almack's; a Novel.	The Literary gazette : A weekly journal of literature, science, and the fine arts	White, Charles	1827	Almack's; a novel	y	nan		
25	1897	6654441	They that Sit in Darkness.	The Academy, 1869-1902, 0269-333X	Mackie, John	1897	They that sit in darkness. A story of the Australian Never-Never	y	4	adventure	
26	1897	3178982	HIGHWAYS AND BYWAYS IN DEVON AND CORNWALL.	The Bookman	Johnson, Clifton	1904	Highways and byways of the South	n			
27	1865	9453297	Dunvarlick; or, Round about the Bush.	The Athenaeum	Macrae, David	1865	Dunvarlich; or, Round about the bush	y	1	temperance tale	
28	1892	8952636	PASSING THE LOVE OF WOMEN.	The Athenaeum	Needell, J. H, Mrs	1892	Passing the love of women	y	5		
29-0	1870	9194214	George Canterbury's Will.	The Athenaeum	Wood, Ellen	1870	George Canterbury's will	y	2		
29-1	1870	9194214	George Canterbury's Will.	The Athenaeum	Jackson, Henry		A Dangerous Guest	y	1		
