seq	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	isfiction	howpositive	genresnamed	comments
100	1817	8164191	77. Hardenbrass and Haverill, or the Secret of the Castle; a Novel. In four Volumes, 12mo.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833		1817	Hardenbrass and Haverill;	y	4		
101	1898	8847434	The Dull Miss Archinard.	The Athenaeum	Sedgwick, Anne Douglas	1898	The dull Miss Archinard	y	4	juvenile	
102	1889	8776008	Book review	The Athenaeum	Bowles, C.E.B.	1589	The Marriage Settlement of the Earl of Salisbury with the Daughter of Lord Cobham	n			
103	1857	8759444	Isabel, the Young Wife and the Old Love.	The Athenaeum	Jeaffreson, John Cordy	1857	Isabel, the young wife and the old love	y	3		
104	1819	5138273	Emmeline: with some other Pieces. By Mary Brunton, Author of 'Self Control,' and ' Discipline.' To which is prefixed, A Memoir of her Life, including some Extracts from her Correspondence.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822	Brunton, Mary	1819	Emmeline. With some other pieces	y	4		unfinished novel
105	1825	8524843	80. The Journal of an Exile. 2 Vols. Crown 8vo. Saunders and Otley.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Boswell, Thomas Alexander	1825	The journal of an exile	y	4		
106	1807	6083743	SKETCH OF THE LIFE AND CHARACTER OF PASSWAN OGLU: OR PAZAN-OHLU.	The Literary panorama, 1806-1819	Necker de Saussure, Albertine Adrienne	1820	Sketch of the life, character, and writings of Baroness de Staël-Holstein		nan		
107	1888	6744522	Early Adventures in Persia, Susiana, and Babylonia, including a Residence among the Bakhtiyari and other Wild Tribes before the discovery of Nineveh.	The Academy, 1869-1902, 0269-333X	Layard, Austen Henry, Sir	1887	Early adventures in Persia, Susiana, and Babylonia, including a residence among the Bakhtiyari and other wild tribes before the discovery of Nineveh	n			
108	1860	4455582	Right at Last; and other Tales.	Tait's Edinburgh magazine	Gaskell, Elizabeth Cleghorn	1860	Right at last, and other tales	y	2	short stories	
109	1860	8648082	Elfie in Sicily.	The Athenaeum		1860	Elfie in Sicily	y	3		
110-0	1872	8693422	The Eustace Diamonds.	The Athenaeum	Trollope, Anthony	1876	The Eustace diamonds	y	3		
110-1	1872	8693422	Miriam’s Marriage	The Athenaeum	Macquoid, Katharine S.		Miriam’s Marriage	y	4		
110-2	1872	8693422	The Fitful Fever of a Life	The Athenaeum	Vincent, Sir F.		The Fitful Fever of a Life	y	4		
111	1855	5003487	VOYAGES AND TRAVELS.	The Critic		1838	Voyages and travels		nan		review of three books, but indecipherable as to their titles and where the reviews break up
112	1888	8763361	The Ingenious Gentleman Don Quixote of La Mancha.	The Athenaeum	Cervantes Saavedra, Miguel de (H.E. Watts, tr.)	1881	The ingenious knight : Don Quixote de la Mancha	y	4		
113	1821	9029863	A Letter to the Right Hon. Robert Peel containing a Free Enquiry into the Justice of the Queen's Exclusion from the Liturgy.	Examiner	pseud. Fabius	1821	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	n			
114	1911	6742194	Letters and Sketches from Northern Nigeria.	The Academy and literature, 1910-1914	Kisch, Martin	1894	Letters and sketches from the New Hebrides	n			
115	1910	9049860	First Love.	The Athenaeum	Van Vorst, Marie	1910	First love	y	2		
116	1827	5195755	Narrative of Don Juan Van Halen's Imprisonment in the Dungeons of the Inquisition at Madrid; and his Escape in 1817 and 1818.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Halen, Juan Van	1827	Narrative of Don Juan van Halen's imprisonment in the dungeons of the Inquisition at Madrid, and his escape in 1817 and 1818 : to which are added, his journey to Russia, his campaign with the army of the Caucasus, and his return to Spain in 1821	y	3		
117-0	1873	9046291	Gabriel Denver.	The Athenaeum	Brown, Oliver Madox	1873	Gabriel Denver	y	2		
117-1	1873	9046291	Margaret and Elizabeth	The Athenaeum	Saunders, Katherine		Margaret and Elizabeth	y	4		
118-0	1887	8767856	The Tragedy of Featherstone.	The Athenaeum	Farjeon, B. L. (Benjamin Leopold)	1888	The tragedy of Featherstone	y	3		
118-1	1887	8767856	Borderland	The Athenaeum	Fothergill, Jessie		Borderland	y	3		
118-2	1887	8767856	Our Own Pompeii	The Athenaeum			Our Own Pompeii	y	2		possibly written by Kendall, Miss M.
119	1837	6856252	SOME PASSAGES IN THE LIFE OF A DISAPPOINTED MAN.	Bentley's miscellany,  1837-1868	"White, James (George Cruikshank, illustrator)
"	1834	Some passages in the life of a Disappointed Man	y	nan	miscellany	
