author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Christie Agatha	B1618	{2444927}	{'Mystery fiction'}	{'nyp.33433074970710'}	{'Belgians', 'Private investigators', 'England', 'Poirot, Hercule (Fictitious character)'}	The mysterious affair at Stiles  a detective story	
Harte Bret	B3802	{8617030}		{'uc1.32106014537853'}		Gabriel Conroy	
Fletcher J S Joseph Smith	B2757	{3217848}	{'Mystery fiction', 'Detective and mystery stories'}	{'nyp.33433075727010'}		The Chestermarke instinct	
Howe Sonia Elizabeth	B3879	{3209761}		{'uc2.ark+=13960=t2j67j06j'}	{'Description and travel', 'Soviet Union', 'World War, 1914-1918'}	Real Russians	
Reid Christian	B7105	{3188081, 8968015, 6791431}		{'uc2.ark+=13960=t6445jb5g'}		The man of the family	
Haliburton Thomas Chandler	B3728	{8887463, 9419922, 8906778, 4703911}		{'nyp.33433074931563'}	{'Canadian wit and humor'}	The clockmaker or the sayings and doings of Samuel Slick of Slickville	
Camp Wadsworth	B1527	{8935635}		{'nyp.33433074935457'}		The hidden road	
Burnett Frances Hodgson	B1004	{8968211}		{'uc2.ark+=13960=t9z030k35'}		A lady of quality	
Green Julien	B3022	{2484923}		{'mdp.39015030356128'}		The dark journey	
Lee Vernon	B5106	{6857107}		{'uc1.l0090959347'}		Vanitas  polite stories	
Wells H G Herbert George	B8484	{3222333, 2447510}		{'mdp.39015066062178', 'mdp.39015006588621'}		The world of William Clissold  a novel at a new angle	
Mackenzie Compton Sir	B5267	{3212733}		{'mdp.39015014305521'}		The old men of the sea a romance of adventure in the south Pacific	
Haggard H Rider Henry Rider	B3958	{3279933}		{'uc2.ark+=13960=t8x924p77'}		Stella Fregelius	
Hyne C J Cutcliffe	B3849	{3172819}		{'uc2.ark+=13960=t0js9hg50'}		Atoms of empire	
Green Anna Katharine	B3162	{9054509}		{'nyp.33433076089972'}	{'American fiction'}	The house of the whispering pines	
MacLane Mary	B5331	{6794061}		{'mdp.39015066051429'}		The story of Mary MacLane	
James Lionel	B4316	{6798780}		{'nyp.33433082442447'}	{'Russo-Japanese War, 1904-1905'}	The yellow war	
Croker Marianne Nicholson	B1327	{4710425}		{'hvd.32044004468302'}		The adventures of Barney Mahoney	
Macaulay Mrs Fannie Caldwell	B5973	{8958043}		{'njp.32101037987375'}		The house of the misty star a 	
Sheppard Alfred Tresidder	B7473	{3297121, 3213403, 2438951}		{'nyp.33433075747067'}		The quest of Ledgar Dunstan	
London Jack	B4772	{6810552, 9097777, 3278203, 9012838, 3203231}	{'Juvenile audience', 'Bibliographies'}	{'njp.32101067626562', 'wu.89006659528'}	{'Carmalt, Geraldine Woolsey', 'Gold discoveries', 'Animal welfare', 'Pet theft', 'Provenance', 'Yukon', 'American literature', 'Dogs', 'Sled dogs', 'Wolves', 'Feral dogs', 'Klondike River Valley', 'Bookplate'}	The call of the wild	
Freiherr de La MotteFouqué Friedrich Heinrich Karl	B2907	{2857201}		{'njp.32101066909290'}		Thiodolf the Icelander  from t	
Croker B M Bithia Mary	B1762	{6833434}		{'uc2.ark+=13960=t5q81kv9d'}		Babes in the wood	
Meredith George	B6052	{8545720}	{'Bibliographies'}	{'mdp.49015002138114', 'mdp.39015014607702'}		The tragic comedians a study i	
Scott Walter Sir	B7623	{2487718}		{'uc1.b4102467'}		The Waverley pageant the best passages from the novels of Sir Walter Scott selected	
Rook Clarence	B7021	{3164970}		{'uc1.$b269202'}	{'London', 'Gangs', 'Biography', 'England', 'Hoodlums', 'IsBiographical'}	The Hooligan nights	
Child Richard Washburn	B1493	{3175405}		{'nyp.33433074812102'}		The blue wall	
Stockton Frank Richard	B7401	{8864530}		{'mdp.39015063956869'}		The young master of Hyson Hall	
Paulding James Kirke	B6430	{2851516}		{'dul1.ark+=13960=t5p850s0b'}		The merry tales of the three wise men of Gotham	
Cullum Ridgwell	B1750	{6830232, 3161106, 9049542}		{'uc2.ark+=13960=t52f7t83w'}		The watchers of the plains	
Huntington J V Jedediah Vincent	B3743	{8762705}		{'nyp.33433076079361'}		Rosemary or Life and death	
Hope Anthony	B3475	{6685500}		{'coo.31924013480771', 'coo.31924064977006'}		Tales of two people	
Curtis George William	B1677	{8634570}		{'uc1.b3324208'}	{'American fiction'}	Prue and I	
Davis John Francis Sir	B2536	{5077249}		{'uc1.b4110102'}		Chinese novels translated from	
Inchbold A C A Cunnick	B4200	{3199572}		{'wu.89005366653'}		Love and the crescent a tale o	
Frankau Julia	B2743	{9033761, 3170379}		{'nyp.33433074854526'}		The Sphinxs lawyer	
Deland Margaret Wade Campbell	B2460	{8919719}		{'mdp.39015012372374'}		The awakening of Helena Richie	
