author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
De Sélincourt Hugh	B2231	{6850360, 3190361}		{'nyp.33433074959762'}		A boys marriage	
White Stewart Edward	B8562	{8911670}		{'njp.32101065597575'}	{'Michigan', 'Lumbering'}	The Riverman	
Countess of Blessington Marguerite	B1993	{6108312, 9010755, 8607339, 8931596}		{'mdp.39015063754124'}		The confessions of an elderly 	
Bury Charlotte Campbell Lady	B528	{8290032}		{'njp.32101069165387', 'njp.32101069165379'}		Alla giornata  or To the day	
Marnan Basil	B5465	{8882128, 6801137}		{'nyp.33433074895750'}	{'English fiction'}	A daughter of the veldt	
Huxley Aldous	B4131	{2448937}		{'mdp.49015000983156'}		Eyeless in Gaza a novel	
Phillpotts Eden	B6637	{2438329, 8977283, 3291039}		{'uc2.ark+=13960=t0ht2j50b'}		Old Delabole	
Sousa L de	B7666	{3218454}		{'uc2.ark+=13960=t2v40mc2t'}		Huns in Palestine	
Hudson W H William Henry	B3633	{6696867, 8761606}	{'Bibliographies'}	{'nnc1.0022575324', 'nnc1.0035530944'}	{'Description and travel'}	The purple land that England lost Travels and adventures in the Banda Oriental South America	
Lee Holme	B4856	{8633442}		{'nyp.33433075749899'}		Kathie Brande  a fireside history of a quiet life	
Sutherland Joan	B7839	{3201253}		{'wu.89069721363'}		Desborough of the northwest frontier	
Burmeister Hermann	B546	{4702244, 6181002, 6180013, 5809232, 5846453, 5827801}		{'nyp.33433010997074'}	{'Entomology', '1802-1868', 'Insects', 'Shuckard, William Edward'}	A Manual of entomology	
Sterne Laurence	B7926	{5419845}		{'nyp.33433076095052'}		Some account of the life and w	
Bindloss Harold	B950	{8930482}		{'uc2.ark+=13960=t6qz25r09'}		His ladys pleasure	
Austin F Britten Frederick Britten	B188	{3210007}		{'uc2.ark+=13960=t9n29t025'}	{'World War, 1914-1918'}	Battlewrack	
Deledda Grazia	B2393	{6696846}		{'uiuo.ark+=13960=t7pn91s13'}		Nostalgia	
Ruffini Giovanni	B7040	{8427503}		{'uc1.b5079186'}		The Paragreens on a visit to the Paris Universal Exhibition	
PentreathDolly	B6648	{3160547}		{'uc2.ark+=13960=t2s46w55j'}	{'Cornwall (England : County)'}	In a Cornish township with old Vogue folk	
Winter John Strange	B8529	{8967580}		{'mdp.39015063961497'}		A selfmade countess the justication of a husband	
Chambers Robert W Robert William	B1992	{6697833}		{'mdp.39015063550027'}		A young man in a hurry and oth	
Oppenheim E Phillips Edward Phillips	B6253	{3219509}		{'mdp.39015063924883'}		The seven conundrums	
Jerrold Douglas William	B4468	{4446023}		{'uc1.b3335743'}		The story of a feather Cakes a	
Paterson William Romaine	B6523	{8857308, 6791085, 6771846}		{'nyp.33433075749758'}	{'Scottish authors', 'English fiction'}	Siren City	
Voynich E L Ethel Lillian	B8387	{3180404, 9406749, 6805324}	{'Novel'}	{'uc2.ark+=13960=t0ft8dv09'}		The gadfly	
Alcott Louisa May	B252	{8535256}		{'miun.abr0935.0001.001'}		A modern Mephistopheles  and A	
Hume Fergus	B3683	{9006588, 3188231}		{'nyp.33433074861919'}		Lady Jim of Curzen street a novel	
Aguilar Grace	B258	{8243708}		{'uc2.ark+=13960=t0cv4dn6q'}		The mothers recompense	
Kipling Rudyard	B4516	{3148200}		{'mdp.39015050290264', 'mdp.39015066709851', 'wu.89081877821', 'mdp.39015066710131', 'wu.89081877789', 'mdp.39015066710446', 'mdp.39015066710123', 'mdp.39015066710297'}		The works of Rudyard Kipling	
Geen Philip	B3293	{3173158}		{'uc2.ark+=13960=t8x923s6p'}	{'Fishing', 'Great Britain'}	Days stolen for sport	
Andryane Alexandre Phillippe	B118	{4700715}		{'uc1.$b287800', 'uc1.$b287799'}		Memoirs of a prisoner of state in the fortess of Spielberg	
Fletcher J S Joseph Smith	B2773	{3298408}		{'nyp.33433075728588'}		The RaynerSlade amalgamation	
Crawford F Marion Francis Marion	B1909	{6818065, 8811717, 3176246}		{'mdp.39015059394331', 'mdp.39015059394323'}		The children of the king a tal	
Miss Pardoe Julia	B5933	{4987809, 8635461}		{'uc1.b4019815'}		The thousand and one days a co	
Lynch Hannah	B4835	{8842703}		{'nyp.33433074879036'}		Dr Vermonts fantasy and other stories	
Oliphant Mrs Margaret	B6269	{4381583}		{'njp.32101065192484', 'njp.32101065192492'}		Brownlows	
Clifford W K Mrs	B1862	{3215889}		{'uva.x000538796'}		Miss Fingal	
Parrish Randall	B6622	{9270638}		{'uc1.b3325469'}		When wilderness was king a tale of the Illinois country	
Taylor Jefferys	B8016	{5793918}	{'Juvenile audience'}	{'hvd.hn2gwa'}	{'Conduct of life', 'Boys', 'Juvenile literature'}	Harrys holiday or The doings of one who had nothing to do	
Canton William	B1654	{3172291, 6739822}		{'uc1.$b261458', 'uc2.ark+=13960=t6h132s35'}	{'W. V', '1890-1901', 'Poetry', '(Winifred Vida)', 'Children'}	The invisible playmate	
Brown Alice	B1056	{8927923}		{'umn.31951001999176e'}		The story of Thyrza	
Taylor Bayard	B8182	{8793594}		{'uc2.ark+=13960=t2c826g7d'}		Joseph and his friend	
Blake Adam	B1164	{3218182}		{'uc2.ark+=13960=t19k47n0n'}		The man with the hoe	
Mackie John	B5908	{6654441}		{'nyp.33433074896030'}		They that sit in darkness A st	
Crumpe	B2001	{4700855}		{'uiuo.ark+=13960=t0dv1w173', 'uiuo.ark+=13960=t5j96gx5t', 'uiuo.ark+=13960=t9j393d7p'}		Geraldine of Desmond or Irelan	
Verne Jules	B8354	{3164714}	{'Bibliographies'}	{'mdp.39015046862747'}	{'Science fiction'}	An Antarctic mystery	
Hornung E W Ernest William	B3882	{3159431}		{'uc2.ark+=13960=t2t43q19s'}		Dead men tell no tales	
Reuter Fritz	B7225	{8627756}		{'mdp.39015008234547', 'mdp.39015008234521', 'nyp.33433075750723'}		An old story of my farming day	
Phillpotts Eden	B6551	{3205327}		{'nyp.33433075766547'}		Faith Tresilion	
Alexander Mrs	B61	{9452037}		{'nyp.33433034410880'}	{'English fiction'}	Look before you leap a novel	
Steel Flora Annie Webster	B7680	{6806200, 3160573, 8844031}	{'History'}	{'uc2.ark+=13960=t43r1751d'}	{'Sepoy Rebellion, 1857-1858', '(OCoLC)fst01354766', 'Delhi', '(OCoLC)fst01205766', 'Siege of Delhi (India : 1857)', '1857', 'Siege, 1857', 'India', 'History'}	On the face of the waters	
Ward Mary Augusta	B8752	{8981817, 3206148}		{'uc2.ark+=13960=t0zp41460'}		Delia Blanchflower	
Fischer William Joseph	B2789	{3215472}		{'nyp.33433076066160'}	{'American fiction'}	The years between	
Miss Pardoe Julia	B5227	{8622601}		{'inu.32000001213554'}		The jealous wife	
Macdonald Alexander	B5928	{6691507}	{'Autobiography'}	{'uc1.b3820828'}		In the land of pearl and gold 	
Warren Maude Radford Maude Lavinia Radford	B8521	{9296077}		{'mdp.39015059423437'}		The land of the living  a nove	
Beresford J D John Davys	B846	{2437825, 9500562}		{'uc2.ark+=13960=t0ht2j548'}		The house in Demetrius Road	
SackvilleWest V Victoria	B7345	{3317515}		{'mdp.39015017693956'}		The dark island	
Grey Zane	B3391	{4923644}	{'Western stories', 'Historical fiction, American', 'Biographical fiction, American'}	{'nyp.33433076067234'}		The last trail  a story of ear	
Garner Helen	B3430	{8934987}		{'uc1.32106006320367'}		Monkey grip	
Fisher Mary	B2952	{4417459}		{'uc2.ark+=13960=t4rj4bm6v'}		The Treloars	
Pickering Sidney	B6572	{6681434}		{'nyp.33433076048861'}		The key of paradise	
Blackford Martha Mrs	B1233	{5159747}	{'Juvenile audience'}	{'nyp.33433074939905'}		The Scottish orphans a moral t	
Phillips Charles	B6720	{9456903}		{'uiuo.ark+=13960=t7xk8x12k', 'uiuo.ark+=13960=t6vx0zb12', 'uiuo.ark+=13960=t1ng57p6f'}		The cream of life	
Clarke Mary Cowden Mrs	B2045	{8378226}		{'mdp.39015081195995'}		The complete concordance to Sh	
Hémon Louis	B3787	{8926995, 8969765}		{'uc1.$b318429'}		Blind mans buff	
Jefferies Richard	B4464	{6770400}		{'nyp.33433074867130'}		The scarlet shawl A novel	
Danz Louis	B2532	{8876136}		{'uc1.$b87212'}		It is still the morning	
Praed Campbell Mrs	B6564	{3177338, 8909877, 6776895}		{'nyp.33433075771836'}	{'Australian fiction'}	The maid of the river  an Australian girls love story	
Watson H B Marriott Henry Brereton Marriott	B8557	{6764889, 3175433, 6671094}		{'njp.32101064754961'}		Alarums and excursions	
Thurston E Temple Ernest Temple	B8244	{8891009, 3177501}		{'wu.89000839936'}		The city of beautiful nonsense	
Mathews Cornelius	B5916	{4984350}		{'uc1.b3327069'}		Chanticleer a Thanksgiving sto	
Mason A E W Alfred Edward Woodley	B5429	{6822265, 8900429, 6774894}	{'Novel'}	{'nyp.33433074892518'}		The four feathers	
Somerville E Œ Edith Œnone	B7348	{8950289}		{'mdp.39015020924489'}		Dan Russel the Fox an episode in the life of Miss Rowan	
Fyfe Hamilton	B2880	{3215999}		{'uc2.ark+=13960=t9f47k119'}		The fruit of the tree	
Dehan Richard	B2202	{8979108}		{'nyp.33433074859236'}	{'Franco-Prussian War, 1870-1871'}	The man of iron	
Henty G A George Alfred	B4154	{3174288}	{'Juvenile audience'}	{'mdp.39015073429147'}		In the hands of the Malays and	
Grogan Gerald	B2966	{8954647}		{'dul1.ark+=13960=t0ft99k1b'}	{'Utopias'}	A drop in infinity	
Fletcher J S Joseph Smith	B2701	{3325048}		{'mdp.39015063918059'}		Behind the monocle and other stories	
Conway Katherine Eleanor	B1989	{3224116}		{'uc2.ark+=13960=t59c6sh65'}		The way of the world and other	
Greene Louisa Lilias Mrs	B3344	{9450667}		{'uva.x030825967'}		Cushions and corners  or Holidays at Old Orchard	
Atherton Gertrude Franklin Horn	B178	{6809707, 9007053}		{'uc2.ark+=13960=t70v8bx13'}		The travelling thirds	
Macdonald Robert M	B5747	{6841045}		{'uc2.ark+=13960=t53f4p91w'}		The moon gods secret	
