author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Craigie Pearl Mary Teresa Richards	B1645	{3176260}		{'uc1.$b248357'}		The gods some mortals and Lord Wickenham	
Dunning James Edmund	B2204	{3205867}		{'nyp.33433074861869'}		The master builders	
Oliphant	B6348	{9046055}		{'uiuo.ark+=13960=t49p3mp3k', 'uc2.ark+=13960=t88g8mq9j', 'uc2.ark+=13960=t87h1kt6d'}		Memoirs and resolutions of Adam Graeme of Mossgray	
Capes Bernard Edward Joseph	B1429	{6750719}		{'njp.32101046509897'}		From door to door a book of romances fantasies whimsies and levities	
DAnnunzio Gabriele	B2303	{6762796}		{'uc1.b4225584'}		The triumph of death	
Crockett S R Samuel Rutherford	B1706	{3256691, 3158615}		{'uc2.ark+=13960=t1mg7hb6q'}		The Stickit minister	
Du Chaillu Paul B Paul Belloni	B2424	{8686068}		{'uc2.ark+=13960=t09w0hq3m'}		My Apingi kingdom with life in	
Dupuy Eliza A Eliza Ann	B2541	{9108661}		{'uc1.$b807295'}		The Huguenot exiles or The tim	
Tarkington Booth	B8045	{3225523}		{'mdp.39015063926714'}		Harlequin and Columbine	
Charles Elizabeth Rundle	B1970	{8629380}		{'nyp.33433074970546'}		The early dawn or Sketches of 	
Aïdé Hamilton	B76	{8640400, 8457529}		{'nyp.33433074919527'}		Rita an autobiography	
Turgenev Ivan Sergi︠e︡evích	B8257	{8849782}	{'NotBiographical'}	{'uc1.b3962323'}		A Lear of the steppes and othe	
Ward Mary Augusta	B8535	{9033993}		{'mdp.39015063973302'}	{'Fiction (English)'}	Fenwicks career	
Bashford H H Henry Howarth Sir	B661	{8932979}		{'nyp.33433074936778'}		The pilgrims march	
Vachell Horace Annesley	B8398	{9053971}		{'uc2.ark+=13960=t76t0ht57'}		The other side	
Hardy Thomas	B3520	{3170956}	{'Didactic fiction', 'Bibliographies', 'Novel', 'ContainsBiogMaterial', 'Love stories'}	{'uc1.32106005931792', 'mdp.39015013406494'}	{'Stonemasons', 'Death', 'Children', 'Unmarried couples', 'Adultery', 'Illegitimate children'}	Jude the obscure	
Dickens Charles	B2518	{3203888}		{'mdp.49015002959345'}		David Copperfield A tale of tw	
Grier Sydney C	B3116	{8891488, 3153931, 6806371, 6769814}		{'nyp.33433074859699'}		The prince of the captivity	
Rowley Hon Hugh	B7285	{2717305}		{'mdp.39015045693614'}		Gamosagammon or Hints on Hymen	
Goethe Johann Wolfgang von	B2970	{4700568, 8664129, 6433410}	{'Bibliographies'}	{'uva.x030377639', 'uva.x030377640', 'inu.30000055114205', 'hvd.32044024457657'}	{'German'}	Wilhelm Meisters apprenticeship and travels	
Foskett S Samuel	B2875	{3189777}		{'uc2.ark+=13960=t87h1hf6n'}		The temple in the tope	
Hawthorne Nathaniel	B3660	{6252765, 8640526}		{'nyp.33433074853031'}		Transformation  or The romance of Monte Beni	
Trollope Anthony	B8259	{4918137, 8464930}		{'njp.32101067178994'}		Framley parsonage  a novel	
Martineau Harriet	B5647	{5078013, 8957231}		{'uc1.b4102312'}		Sketches from life	
Hurst Fannie	B3543	{2449522}		{'mdp.39015031325999'}		Appassionata	
Conrad Joseph	B1632	{2444888, 8919362, 3226615}	{'Spy stories'}	{'uc2.ark+=13960=t24b3010m', 'pst.000001501247'}	{'Moles (spies)'}	The secret agent	
Derleth August William	B2465	{6692458}		{'uc1.$b87304'}		The shadow in the glass	
Arthur T S Timothy Shay	B281	{4453630}		{'uc2.ark+=13960=t5m90350b'}		Debtor and creditor	
Hall S C Mrs	B3488	{4698894}		{'hvd.hn2gfm'}		Chronicles of a school room	
Grant James	B3265	{8505029}		{'uiuo.ark+=13960=t51g1333q', 'uc2.ark+=13960=t4wh2g916', 'uiuo.ark+=13960=t0sq98b87'}		The girl he married	
Chalcraft Harriette Amiel	B1820	{8760678}		{'uiuo.ark+=13960=t0xp7hm6w', 'uiuo.ark+=13960=t4cn7mt35', 'uiuo.ark+=13960=t9z03nd29'}		Lucy Aylmer	
Sherwood Mary Martha 17751851 Mrs	B7867	{5147596}		{'mdp.39015009292809'}		Juliana Oakley A tale	
Prout Ebenezer	B6817	{2906810}		{'uc1.b4519227'}		Memoirs of the life of the Rev	
Somerville E Œ Edith Œnone	B7350	{6774807}		{'mdp.39015022391133'}	{'joint author', 'Martin, Violet'}	Some experiences of an Irish R M	
Hardy Thomas	B3800	{8621966}		{'mdp.39015008968631', 'uc1.32106006340563'}		The Hand of Ethelberta	
Keightley S R Samuel Robert	B4555	{8843458, 6778916}		{'nyp.33433074871678'}		The last recruit of Clares being passages from the memoirs of Anthony Dillon chevalier of St Louis and late colonel of Clares regiment in the service of France	
Richards Grant	B7058	{9365957}		{'uc2.ark+=13960=t1td9v90f'}		Bittersweet	
Sinclair May	B7942	{6669027, 8840637}		{'nyp.33433075756472'}		The Tysons Mr and Mrs Nevill T	
Cervantes Saavedra Miguel de	B1379	{2716467}	{'Picaresque literature', 'Adventure fiction'}	{'mdp.39015054073138'}	{'Fiction in Spanish, 1516-1700 - English texts'}	Adventures of Don Quixote de la Mancha	
Reynolds Baillie Mrs	B7178	{8961394, 6821158}		{'uva.x000615978'}		A false position	
Littlejohn Agnes	B4950	{3190210}		{'uc2.ark+=13960=t3222tq01'}		The daughter of a soldier	
Lysaght Sidney Royse	B4808	{8927365}		{'nyp.33433074875349'}		Her majestys rebels	
Nordau Max Simon	B6086	{3167991}		{'mdp.39015013109874'}	{'German fiction'}	The comedy of sentiment  a novel	
Montgomery L M Lucy Maud	B5494	{3190962, 8938805, 2443182}		{'nyp.33433074904750'}		Kilmeny of the orchard	
Dickens Charles	B2436	{4416627, 4372876, 4853390}		{'nnc1.cr59867183'}		Twelve Christmas stories	
Whitty Edward Michael	B8579	{8680074, 8623263}		{'nyp.33433067304034', 'nyp.33433067304042'}		Friends of Bohemia  or Phases of London life	
Gore Catherine Grace Frances Mrs	B3406	{8859272}		{'njp.32101066459676', 'njp.32101066459684'}		The dowager  or The new school	
Adshead Joseph	B218	{5213527}		{'uc2.ark+=13960=t2m61f24k'}		A circumstantial narrative of 	
Stanford Alfred	B7897	{3218105}	{'Bibliographies'}	{'mdp.39015023186375'}		Navigator the story of Nathani	
Allen James Lane	B128	{3198721, 6856684}		{'uc1.b3322221'}		The heroine in bronze  or A portrait of a girl  a pastoral of the city	
Semple Robert	B7951	{2967140}		{'nyp.33433082456462'}		Walks and sketches at the Cape	
Lytton Edward Bulwer Lytton Baron	B4928	{5143483, 5837148}	{'Bibliographies'}	{'uc2.ark+=13960=t07w6gd3t'}		The pilgrims of the Rhine	
France Anatole	B2871	{3216065}		{'uc2.ark+=13960=t79s1wf9r'}		The amethyst ring	
Zangwill Israel	B9086	{2442224, 3219355}	{'Drama'}	{'nyp.33433075861694'}		Jinny the carrier a folkcomedy	
Farrar F W Frederic William	B2925	{8926623}		{'uc2.ark+=13960=t8z895c4s'}		Darkness and dawn	
Wharton Edith	B8488	{8868900, 6770277}	{'Short stories'}	{'mdp.39015010759838'}		The greater inclination	
Simenon Georges	B7903	{8921527}		{'mdp.39015048787041'}		The cat	
London Jack	B4725	{6818727}		{'mdp.39015008930664'}	{'San Francisco Bay Area (Calif.)', 'Immigrants', 'Fishers', 'Fishing villages'}	Tales of the fish patrol	
Green Anna Katharine	B3224	{8964774}		{'uc1.b4104310'}		Agatha Webb	
Eells Elsie Spicer Mrs	B2625	{3213915}		{'wu.89094595055'}	{'Brazil', 'Fairy tales', 'Folklore'}	Fairy tales from Brazil how and why tales from Brazilian folklore	
Little Frances	B4758	{8933437}		{'mdp.39015063939048'}		Little Sister Snow	
Stuntz Stephen Conrad	B7827	{3284224}		{'uva.x030794676'}		Mrs Jim and Mrs Jimmie  certain town experiences of the second Mrs Jim as related to Jimmys wife	
Cabell James Branch	B2038	{9458609}		{'mdp.39015030735784'}		The cords of vanity a comedy o	
Brooke Emma	B632	{6769737, 6790132, 3174695}		{'nyp.33433074930391'}		The engrafted rose  a novel	
Hamilton John A John Arthur	B3641	{6670816, 8986856, 3278414}	{'Mystery fiction'}	{'nyp.33433044068033'}	{'History'}	The ms in a red box	
Page Thomas Nelson	B6470	{3181744}		{'mdp.39015063935749'}		The land of the spirit	
Sinclair Francis	B7665	{3183497, 6786910}		{'uc2.ark+=13960=t2t43sd25'}		From the four winds	
Nordau Max Simon	B6125	{9023257, 3184911}		{'nyp.33433075739601'}		Morganatic	
Cullum Ridgwell	B1710	{3191266}		{'uc2.ark+=13960=t1xd0tc6b'}		The golden woman	
Henty G A George Alfred	B3596	{3179921}	{'Juvenile audience', 'Novel'}	{'mdp.39015073478763'}	{'Criminal investigation', 'Juvenlie fiction', 'London', 'England'}	Colonel Thorndykes secret	
Chapin Charles E	B1380	{8998785}		{'mdp.39015055053436'}	{'Journalism', 'United States'}	Charles Chapins story written in Sing Sing prison	
Torrens R Robert	B8238	{6129972}		{'uiuo.ark+=13960=t2q537x0q', 'uiuo.ark+=13960=t3320kr23'}		The victim of intolerance or The hermit of Killarney a Catholic tale  n 1	
Sedley Henry	B7977	{9427895}		{'nyp.33433076029879'}		Marian Rooke or The quest for 	
George Walter Lionel	B3273	{2450753, 3194650}		{'uc2.ark+=13960=t5z60j16w', 'nyp.33433074856927'}		A bed of roses	
Chambers Robert W Robert William	B1487	{8916778}		{'uc2.ark+=13960=t0rr1qh7c', 'nyp.33433074809470'}		The younger set	
Spearman Frank H Frank Hamilton	B7618	{3210443}		{'uc1.b3727988'}		Nan of Music Mountain	
Twain Mark	B8314	{3166772}		{'uva.x030552424', 'mdp.39015000587579', 'mdp.39015018600646'}		The American claimant and othe	
Clive Caroline Wigley	B1639	{3234641, 9095667}		{'uc1.$b112018'}		Paul Ferroll	
Keith Leslie Grace L Keith Johnston	B4527	{9173137}		{'njp.32101068970449', 'njp.32101068970423', 'njp.32101068970431'}		The Halletts a country town chronicle	
Alexander Mrs	B66	{3159247}		{'nyp.33433074850185'}		The snare of the fowler	
