author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Praed Campbell Mrs	B6642	{6795969, 6789002, 3184553, 8985511}		{'uc2.ark+=13960=t11n83c80'}		The scourgestick	1898
Mackail J W John William	B5915	{6655318}		{'uc2.ark+=13960=t4mk68r8n'}		Biblia innocentium part second	1901
Irving Washington	B4199	{9224150}		{'mdp.39015066063598'}		Rip Van Winkle Legend of Sleep	1859
Charles Elizabeth Rundle	B2082	{4848374}		{'nyp.33433074970496'}		Chronicles of the SchönbergCo	1864
Bellew Kyrle	B480	{9079873, 3185153, 8931755, 9348760}		{'njp.32101064787797'}		Short stories	1911
Besant Walter Sir	B852	{8938184}		{'uc2.ark+=13960=t9p26w01p', 'uc2.ark+=13960=t6sx68z4z', 'uc2.ark+=13960=t0tq5wn8h'}	{'America', 'Asylums', 'Religion', 'Satire', 'Marital conflict'}	The city of refuge	1896
Munro Neil	B5639	{6779250, 6783414}		{'uc1.b3581595'}		Gilian the dreamer  his youth his love and adventure	1899
QuillerCouch Arthur Thomas Sir	B6872	{6837451}		{'uc2.ark+=13960=t6057g755'}		Shakespeares Christmas and oth	1905
Herrick Robert	B3987	{9414322}		{'uva.x001180057'}		The web of life	1900
Browning Elizabeth Barrett	B352	{3161534, 5008917, 6172982}		{'mdp.39015009374508'}		Aurora Leigh	1861
McDonald William	B5925	{3167283, 8951731}		{'uc2.ark+=13960=t78s4n25t'}		The heathens of the heath	1874
Dickens Charles	B2431	{4416627, 4372876, 4853390}	{'Bibliographies'}	{'mdp.49015002482884', 'uva.x000393524', 'uc2.ark+=13960=t8df6pn46'}		Christmas stories from Househo	1870
Savage Richard	B7826	{6817349}		{'uva.x030741550'}		The golden rapids of high life  a novel	1903
Maxwell W B William Babington	B5728	{6852503}		{'uc2.ark+=13960=t42r3tv68'}		The devils garden	1913
Old Sailor	B6381	{8717140}		{'nyp.33433074936380'}		Floating remembrances and sket	1846
Bulfinch Thomas	B1063	{3217311}		{'uva.x000467597'}	{'Mythology', 'Chivalry', 'Emperor', 'Romances', '742-814', 'Charlemagne', 'Folklore'}	King Arthur and his knights The Mabinogeon Hero myths of the British race	1867
Cooper James Fenimore	B1479	{9030034, 4702148}		{'nyp.33433074794219', 'nyp.33433074794193', 'nyp.33433074794201'}		The bravo A Venetian story	1831
Catherwood Mary Hartwell	B1668	{9421142}		{'uc1.b3216573'}	{'sieur de', 'Tonti, Henri de', 'La Salle, Robert Cavelier', 'd. 1704', '1643-1687'}	The story of Tonty	1890
Spettigue H H	B7482	{8840987}		{'nyp.33433075751507'}	{'English fiction'}	The heritage of Eve	1898
Courtney W L William Leonard	B1940	{3198112, 6822667}		{'inu.30000010414443'}		The soul of a suffragette and 	1913
Saki	B7567	{6846160}		{'uc1.$b285106'}		The unbearable Bassington	1916
Omar Khayyam	B6333	{8845007, 3146967}		{'uc1.b4033255'}		Rubaiyat of Omar Khayyam	1889
Jerrold Douglas William	B4301	{6671184}		{'nyp.33433074915491'}		The barbers chair and the hedgehog letters	1857
St Leger Evelyn	B7515	{3188207}		{'nyp.33433075873269'}		The Blackberry pickers	1912
Ross William A	B7291	{8256773}		{'uc1.$b536902'}		A yacht voyage to Norway Denma	1848
Chekhov Anton Pavlovich	B1979	{8978427, 6893476, 8968197}		{'mdp.39015005117000'}		Peasants and other stories	1904
McCarthy Justin	B5390	{8526825}		{'nyp.33433074875091'}		Linley Rochford  a novel	1874
Moult Thomas	B5686	{2444381}		{'uc2.ark+=13960=t1gh9fm6b'}		Snow over Elden	1920
Northcote James	B6223	{8248022}	{'Short stories'}	{'nyp.33433082131966'}		One hundred fables original an	1828
Michon Jean Hippolyte	B5529	{9429972}		{'nyp.33433075798193'}		Under the ban Le maudit A tale of the nineteenth century	1865
Ponsonby Emily	B6716	{9456051, 8483461}		{'uiuo.ark+=13960=t1bk1zz7x', 'uiuo.ark+=13960=t7kp8md55', 'uiuo.ark+=13960=t6xw51f3c'}		Violet Osborne	1865
Garnett David	B3420	{2442943}		{'pst.000005407521'}		The grasshoppers come   A rabb	1948
Beresford Max	B304	{3178592}		{'coo.31924013483353'}		A garden of spinsters	1904
Barron Elwyn Alfred	B885	{9406224}		{'uc2.ark+=13960=t2q52gq5z'}		Manders	1899
Gorky Maksim	B3256	{6847785, 9502430}		{'uc2.ark+=13960=t3pv6mx46'}		Tales of two countries	1914
Braddon M E Mary Elizabeth	B457	{8627579}		{'nc01.ark+=13960=t42r4pr6n'}		Just as I am	1880
Clacy Ellen	B1596	{8456352}		{'nyp.33433074950142'}		Daybreak or Right struggling and triumphant	1862
Rodziewiczówna Maria	B6935	{6801116, 8988518}		{'mdp.39015065362934'}		Anima vilis a tale of the great Siberian steppe	1900
Lawrence George A George Alfred	B5108	{8463467}		{'nyp.33433074872817'}		Sword and gown A novel	1859
Cooper James Fenimore	B1927	{8720962}	{'Western stories', 'Bibliographies', 'Historical fiction'}	{'njp.32101079670293'}		The prairie  a tale	1836
Byrne Donn	B597	{3210199}		{'nyp.33433074861844'}	{'Polo, Marco', '1254-1323?'}	Messer Marco Polo	1921
Barrett Eaton Stannard	B503	{4822243, 5092461}		{'njp.32101067628873', 'njp.32101067628865', 'njp.32101067628857'}		Six weeks at Longs	1817
WhyteMelville G J George John	B8799	{8524263}		{'uc2.ark+=13960=t5q81dg02'}	{'La Valli????re, Louise de', 'France', 'History', '1644-1710', 'Louis XIV, 1643-1715'}	Sister Louise	1876
Cairnes William Elliot	B1445	{6797465}		{'njp.32101066121383'}		The coming Waterloo	1901
Sterne Laurence	B7926	{5419845}		{'nyp.33433076095052'}		Some account of the life and w	1768
Reynolds George W M George William MacArthur	B6887	{2862166}		{'inu.30000010355679', 'inu.30000010355661'}		The mysteries of London	1840
