author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Lamb Charles	B5046	{4965633, 8683175}	{'Juvenile audience', 'ContainsBiogMaterial', 'Adaptations'}	{'uva.x030825975'}	{'Comedies', 'Adaptations', '1564-1616', 'English literature', 'Juvenile literature', '(OCoLC)fst00029048', 'Shakespeare, William', 'Stories, plots, etc'}	Tales from Shakespeare	
Maharani of Cooch Behar Sunity Devee	B6058	{3206650}	{'Autobiography'}	{'mdp.39015005121184'}		The autobiography of an Indian	
Grant Elizabeth	B3378	{8868540, 6657197}	{'Autobiography'}	{'mdp.39015026477516'}		Memoirs of a Highland lady the	
Rook Clarence	B7021	{3164970}		{'uc1.$b269202'}	{'London', 'Gangs', 'Biography', 'England', 'Hoodlums', 'IsBiographical'}	The Hooligan nights	
Conrad Joseph	B1342	{9423732}	"{'Bookplates (Provenance)', 'Bibliographies', 'ContainsBiogMaterial', ""Publishers' advertisements""}"	{'inu.32000006722369'}	{'Revolutions', 'Sailors'}	Nostromo  a tale of the seaboa	
Malet Lucas	B5277	{8880211, 6788507}	{'Novel', 'ContainsBiogMaterial'}	{'mdp.39015026502941'}		The history of Sir Richard Calmady a romance	
Radcliffe Ann Ward	B7214	{4693237}	{'ContainsBiogMaterial'}	{'mdp.39015028095787'}		Gaston de Blondeville or The c	
Thackeray William Makepeace	B8309	{8963303}	{'ContainsBiogMaterial'}	{'uva.x030581206'}		The Wolves and the la	
Lytton Edward Bulwer Lytton Baron	B5097	{8993792, 2867530, 4341412, 4987878}	{'Bibliographies', 'History', 'ContainsBiogMaterial'}	{'uc2.ark+=13960=t4zg6k62c'}		The last of the barons	
Holmes Oliver Wendell	B4172	{6717360}	{'ContainsBiogMaterial'}	{'uc2.ark+=13960=t1mg7g308'}		A mortal antipathy	
LamotheLangon EtienneLéon baron de	B4931	{6793468}		{'uc2.ark+=13960=t0ks6n05j'}	{'comtesse', 'Du Barry, Jeanne B????cu', '1743-1793', 'IsBiographical'}	Memoirs of the Comtesse du Barry	
Brandt Johanna	B898	{3193619}		{'uc2.ark+=13960=t3bz64q16'}	{'South African War, 1899-1902', 'Women', 'Biography', 'Personal narratives', 'IsBiographical', 'South Africa'}	The Petticoat commando	
Carpenter Kate E Rushmore	B1952	{3186313}	{'Biography', 'Juvenile audience'}	{'nyp.33433071386639'}		The story of Joan of Arc for b	
White William Hale	B8904	{8593216, 4692871, 3166820, 6837047}	{'Autobiography'}	{'uc2.ark+=13960=t01z4dx7q'}		The autobiography of Mark Ruth	
Schreiner Olive	B7675	{3170211}	{'Biography'}	{'uc2.ark+=13960=t3jw88x1g'}		Trooper Peter Halket of Mashonaland	
Holmes Oliver Wendell	B4101	{8648846, 8699414}	{'ContainsBiogMaterial'}	{'uc1.$b809249'}		The professor at the breakfast	
Sichel Edith Helen	B7698	{6848974}		{'uc2.ark+=13960=t5bc45m16'}	{'Reformation', 'France', 'Catherine de M????dicis', 'Queen, consort of Henry II, King of France', 'Wars of the Huguenots, 1562-1598', 'IsBiographical', 'History', '1519-1589'}	The later years of Catherine de Medici	
Patterson J E John Edward	B6624	{6849770}	{'Autobiography'}	{'uc1.b3327523'}	{'Patterson, J. E', '(John Edward)', '1866-1919'}	My vagabondage  being the intimate autobiography of a natures nomad	
Banks Elizabeth L	B899	{4089393}		{'uc2.ark+=13960=t3cz3331w'}	{'Biography', 'Women journalists', 'United States', 'IsBiographical', 'Banks, Elizabeth L'}	The autobiography of a newspaper girl	
Hassell Susan Whitcomb	B3912	{9451664}		{'uc2.ark+=13960=t54f1pz7g'}	{'Hassell, Susan Whitcomb', 'Home', 'IsBiographical'}	The old home	
Dickens Charles	B2498	{8999401, 8437741}	{'Dictionary', 'Bibliographies', 'Indexes', 'ContainsBiogMaterial'}	{'nyp.33433067293542', 'nyp.33433074954136', 'nyp.33433074954193', 'uva.x000179358', 'iau.31858009605241'}		The life and adventures of Mar	
Kock Paul de	B4523	{8898507}	{'Autobiography'}	{'njp.32101067523504'}		The schemers	
Gaskell Elizabeth Cleghorn	B3264	{3279216}	{'ContainsBiogMaterial'}	{'wu.89001279686', 'uc2.ark+=13960=t4sj1k525'}		Cousin Phillis	
Thackeray William Makepeace	B8252	{4981582}	{'Autobiography', 'ContainsBiogMaterial', 'Bibliographies'}	{'mdp.39015063760709'}		The history of Henry Esmond es	
Lefroy Edward Cracroft	B4742	{3183581}	{'Biography'}	{'mdp.39015059429921'}	{'Lefroy, Edward Cracroft', '1855-1891'}	Edward Cracroft Lefroy his life and poems including a reprint of Echoes from Theocritus	
Dickens Charles	B2381	{9438853, 4990166}	{'Legal stories', 'Bildungsromans', 'Domestic fiction', 'Bibliographies', 'ContainsBiogMaterial', 'Didactic fiction'}	{'uiuo.ark+=13960=t19k51v83', 'uiuo.ark+=13960=t9t15qw1s', 'uiuo.ark+=13960=t3tt5bm1x', 'uiuo.ark+=13960=t2c830k3q'}	{'Social problems', 'London (England)', 'Dickens, Charles', 'Young women', '1812-1870', 'Guardian and ward', 'Inheritance and succession', 'Illegitimate children'}	Bleak house	
