author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Galsworthy John	B3100	{2441891}		{'nyp.33433074855432'}		In chancery	1920
Loti Pierre	B4975	{8843788}		{'uc2.ark+=13960=t6j09xx9f'}		Ramuntcho	1897
Southworth Emma Dorothy Eliza Nevitte	B7521	{8511843}		{'nyp.33433076022163'}		Cruel as the grave	1871
Weyman Stanley John	B8782	{9022673}		{'uc2.ark+=13960=t3kw5cx69'}		The Abbess of Vlaye	1904
Lee Holme	B4896	{8662539}		{'uiuo.ark+=13960=t1jh44z6t', 'uiuo.ark+=13960=t8df7bc8s', 'uc1.b3136622'}		Warp and woof or The reminiscences of Doris Fletcher	1861
Strickland Agnes	B7812	{4866288}		{'uiuo.ark+=13960=t89g6990n', 'uiuo.ark+=13960=t7qn6s33c', 'uiuo.ark+=13960=t8w95tg3q'}		How will it end	1865
Major Charles	B6012	{3164897}		{'uc1.b3550216'}		When knighthood was in flower 	1898
Crockett S R Samuel Rutherford	B1953	{9019296}		{'uc2.ark+=13960=t6154gm0v'}		The white plume	1906
Tressell Robert	B8165	{8950035, 6851211}		{'uc1.b4089322'}	{'Capitalism', 'Socialists', 'Social conflict', 'Working class', 'Labor movement', 'Working class families', 'Social classes'}	The ragged trousered philanthr	1911
Gaskell Elizabeth Cleghorn	B3331	{4416811}	{'Bibliographies', 'ContainsBiogMaterial'}	{'uiuo.ark+=13960=t9z03hc07'}		Mary Barton	1848
Neale J M John Mason	B6216	{4965008, 4415885}		{'mdp.39015063941002'}		Stories of the crusades n I II	1848
Chatterton Georgiana Lady	B1854	{8741481}		{'uiuo.ark+=13960=t8hd84770', 'uiuo.ark+=13960=t75t3xd3p', 'uiuo.ark+=13960=t7vm4j87s'}		Country coteries	1868
Rees Claude A	B6991	{8803684, 6658503}		{'nyp.33433075872808'}		Chun Tikung  his life and adve	1896
Heney Thomas William	B3766	{9206096}		{'pst.000006676582'}		The girl at Birrells  a pastoral of the Paroo	1896
Newman May Wentworth	B6095	{8659390}	{'Juvenile audience'}	{'njp.32101063604621'}	{'Fairy tales'}	Fairy tales from gold lands	1867
Coulton Miss	B1454	{6253125, 4347997, 9158063}		{'njp.32101066458397'}		From haytime to hopping	1860
Jkai Mr	B4320	{3185101, 6768870}		{'uc1.$b289585'}		Pretty Michal	1896
Japp Alexander H Alexander Hay	B4333	{2464013}	{'ContainsBiogMaterial'}	{'uc1.b4104160'}	{'(OCoLC)fst00030387', 'Hawthorne, Nathaniel', '1804-1864'}	Memoir of Nathaniel Hawthorne  with stories now first published in this country	1872
Jókai Mór	B4242	{6800915, 3168567}		{'mdp.39015058600365'}	{'Hungarian fiction'}	A Hungarian nabob	1899
Buchan John	B323	{6755615}		{'inu.30000003133299'}		The halfhearted	1920
MacManus Seumas	B6042	{3268766}	{'Juvenile audience'}	{'inu.39000005921841'}		In chimney corners Merry tales	1899
Pemberton Max Sir	B6534	{3175050}		{'nyp.33433075765705'}	{'Jewelry'}	Jewel mysteries I have known  from a dealer note book	1894
Scott Caroline Lucy Lady	B7609	{5210605}		{'uc1.b3327362', 'uc1.b3327361'}		A marriage in high life	1828
Conyers Dorothea	B1878	{6794717}		{'wu.89004871653'}		The thorn bit	1900
Braddon M E Mary Elizabeth	B1157	{8525567}		{'coo.31924013523067'}		Lost for love a novel	1874
Gore Catherine Grace Frances Mrs	B3081	{4974570}		{'njp.32101073378315', 'nyp.33433075905798'}		Sketches of English character	1848
Radcliffe Ann Ward	B6907	{9024559}		{'mdp.39015024482492'}		Memoir of the life and writings of Mrs Radcliffe Gaston de Blondeville	1823
Victor Metta Victoria Fuller	B8427	{8959529}		{'nyp.33433082138706'}		Mormon wives a narrative of fa	1856
Cameron H Lovett Mrs	B1524	{6771198}		{'nyp.33433074935291'}		A loyal lover	1892
Robinson F W Frederick William	B7147	{8979955}		{'uiuo.ark+=13960=t6d22kg1d', 'uiuo.ark+=13960=t0ft97228', 'uiuo.ark+=13960=t5w67423z'}		As long as she lived	1876
Warner Sylvia Townsend	B8730	{3223777, 2450687}		{'uc1.b4082127'}		Mr Fortunes maggot	1927
