author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Elliott Charles Wyllys	B2576	{9157561}		{'nyp.33433074854906'}	{'American fiction'}	Wind and whirlwind a novel	
Atherton Gertrude Franklin Horn	B207	{8896802}		{'wu.89098866015'}		Rulers of kings  a novel	
Trollope Frances Milton	B8114	{8246889}		{'nyp.33433075762645', 'nyp.33433075762652'}		The refugee in America a novel	
McCarthy Justin H  Justin Huntly	B5391	{8915596}		{'nyp.33433074875166'}	{'b. 1431', 'Villon, François'}	Needles and pins a novel	
Frankau Julia	B2902	{6810244, 9419058, 3278138, 6834903}		{'mdp.39015035876260'}		Pigs in clover a novel	
Blondel Parva	B1018	{4382380}		{'uiuo.ark+=13960=t4jm2ww1q', 'uiuo.ark+=13960=t1dj62q38'}		Blondel Parva A novel	
Reade Charles	B6938	{9415989}	{'Novel', 'ContainsBiogMaterial'}	{'mdp.39015066062137'}	{'d. 1760', 'Woffington, Margaret', '1720-1760'}	Peg Woffington A novel	
Gwendoline	B3312	{8586581}		{'uiuo.ark+=13960=t1ng58z6f', 'uiuo.ark+=13960=t7rn3st8c'}		Gwendolines harvest A novel	
Hergesheimer Joseph	B3828	{3209999}		{'uc1.b3688358'}		The three black Pennys a novel	
Wood Ellen	B8889	{9455565, 4853285}		{'nyp.33433022469559'}		Oswald Cray A novel	
Trollope Frank	B8270	{8589370}		{'uc1.b3325102', 'uc1.b3325101'}		The lawyers daughter  a novel	
Gissing George	B3411	{3257589}		{'nyp.33433074856281'}		In the year of jubliee a novel	
Brock Carey Mrs	B634	{8676852}		{'nyp.33433074930466'}		James Gordons wife A novel	
FraserTytler M E Mary Elizabeth	B2906	{8591381}		{'njp.32101062530108'}		Grisel Romney  a novel	
Trollope Anthony	B8273	{4363494}		{'mdp.39015002649047', 'mdp.39015002649252'}		Rachel Ray a novel	
Lane Laura M	B4945	{8524933}		{'uc2.ark+=13960=t29886z5c'}		Gentleman Verschoyle a novel	
Braddon M E Mary Elizabeth	B1277	{8511519}		{'coo.31924064973526'}		Fentons quest a novel	
Bryant Dorothy	B1298	{6779570, 8846098}		{'mdp.49015000668039'}		Miss Giardino  a novel	
Stockton Frank Richard	B7614	{3174807}		{'uc1.b3569273'}	{'American fiction'}	A bicycle of Cathay a novel	
George Walter Lionel	B3438	{6840250}		{'umn.31951002093528m'}		The city of light  a novel of 	
Collins Wilkie	B1965	{8628704, 5056916}		{'nyp.33433074945761'}		The dead secret A novel	
Winter John Strange	B8470	{9019801}		{'inu.30000054100635'}		The little vanities of Mrs Whittaker  a novel	
Moore George	B5981	{8961362, 6796996, 6830469}		{'uc2.ark+=13960=t3xs5xp4w'}		Sister Teresa a novel	
Parker Gilbert Sir	B6751	{8880677}	{'Canadian fiction'}	{'mdp.39015063945763'}		The right of way  a novel	
Smith Horace	B7841	{8288848, 6141109}		{'wu.89101370567', 'wu.89101370583', 'wu.89101370542'}	{'Commonwealth and Protectorate, 1649-1660', 'History'}	Brambletye house  or Cavaliers and roundheads  a novel	
Hay Mary Cecil	B3664	{8616447}		{'nyp.33433074853221'}	{'English fiction'}	The squires legacy  a novel	
James Henry	B4439	{8892941, 6672486}		{'uc1.b4104095'}		The ambassadors a novel	
Castle Agnes	B2088	{6782973}		{'nyp.33433074941836'}		The Bath comedy a novel	
Trollope Anthony	B8073	{8438576}		{'njp.32101067178986'}		Doctor Thorne A novel	
Lockhart Laurence W M Laurence William Maxwell	B5109	{8529179}		{'njp.32101065710871', 'njp.32101065710863'}		Mine is thine  a novel	
Trollope Anthony	B8259	{4918137, 8464930}		{'njp.32101067178994'}		Framley parsonage  a novel	
Glasgow Ellen Anderson Gholson	B3005	{6777697, 3161913, 8854700}		{'mdp.39015003940916'}		Phases of an inferior planet a novel	
Countess of Blessington Marguerite	B1339	{8488208, 8999187, 2854782}		{'inu.30000083748826', 'inu.30000083748834', 'inu.30000083748669'}		Marmaduke Herbert or The fatal error A novel founded on fact	
