"outfilename"	"indexpath"	"reviewsname"
"pairedvol37_1941"	"/media/secure_volume/brd/output_index/volume37 extract.txt"	"1941_39015078261289.tsv"
"pairedvol38_1942"	"/media/secure_volume/brd/output_index/volume38 extract.txt"	"1942_32106019610549.tsv"
"pairedvol39_1943"	"/media/secure_volume/brd/output_index/volume39 extract.txt"	"1943_32106019610556.tsv"
"pairedvol40_1944"	"/media/secure_volume/brd/output_index/volume40 extract.txt"	"1944_32106019610564.tsv"
"pairedvol41_1945"	"/media/secure_volume/brd/output_index/volume41 extract.txt"	"1945_32106019610572.tsv"
"pairedvol42_1946"	"/media/secure_volume/brd/output_index/volume42 extract.txt"	"1946_32106019610580.tsv"
"pairedvol43_1947"	"/media/secure_volume/brd/output_index/volume43 extract.txt"	"1947_32106019610598.tsv"
"pairedvol44_1948"	"/media/secure_volume/brd/output_index/volume44 extract.txt"	"1948_32106019610606.tsv"
"pairedvol45_1949"	"/media/secure_volume/brd/output_index/volume45 extract.txt"	"1949_32106019610614.tsv"
"pairedvol46_1950"	"/media/secure_volume/brd/output_index/volume46 extract.txt"	"1950new.tsv"
