docid	Dominant_Topic	author	orig_title	Topic_Perc_Contrib	date
uc1.$b703878	24	edouard glissant	The ripening	0.052000000000000005	1959
mdp.39015018462088	63	morris west	Lazarus	0.0642	1990
uc1.b3463236	21	mark clifton	Eight keys to Eden	0.0589	1960
mdp.39015008980354	24	elizabeth warnock robert a fernea fernea	The Arab world : personal encounters	0.08800000000000001	1985
mdp.39015024079116	75	leonard wibberley	The quest of Excalibur	0.0545	1959
uc1.$b119914	14	charles jackson	Earthly creatures, ten stories	0.1135	1953
mdp.39015066704837	13	francois clement	The disobedient son	0.0906	1956
mdp.39015050794349	21	jenny mcphee	The center of things	0.1749	2001
mdp.39015007017208	68	daphne du maurier	Mary Anne, a novel	0.0987	1954
pst.000045749308	66	susan howatch	The shrouded walls	0.0625	1968
mdp.39015001585069	79	theodor plievier	Moscow	0.1312	1953
mdp.39015011267476	75	a a attanasio	Radix	0.0829	1981
mdp.39015001718371	30	angela carter	The passion of new Eve	0.0853	1977
mdp.39015046484351	68	tatiana lobo	Assault on paradise : a novel	0.0604	1998
mdp.39015011820761	24	gordon r dickson	Tactics of mistake	0.0694	1971
wu.89015170228	64	loup durand	Daddy	0.1341	1988
mdp.39015000625254	21	damon knight	Three novels: Rule golden, Natural state, [and] The dying man	0.0399	1967
inu.39000003123747	64	roger zelazny	The hand of Oberon	0.0487	1976
inu.30000107316949	24	"kader abdolah
susan massotty"	My father's notebook	0.071	2006
mdp.39015053271824	68	phillip parotti	The Greek generals talk : memoirs of the Trojan War	0.08199999999999999	1986
mdp.39015033982102	21	bradford morrow	Trinity fields	0.1532	1995
mdp.39015005919686	20	malcolm lowry	Under the volcano	0.163	1947
mdp.39015078771618	43	john harvey	Cold in hand	0.0678	2008
mdp.39015066787527	79	neil bissoondath	The unyielding clamor of the night	0.0802	2005
mdp.39015003929810	79	philip gibbs	The cross of peace	0.0401	1934
mdp.39015051278755	24	john nichols	The voice of the butterfly	0.0928	2001
mdp.39015008430244	24	leonardo sciascia	The Council of Egypt	0.0474	1966
umn.319510019955128	64	bernard newman	Papa Pontivy and the Maginot murder	0.0594	1940
mdp.39015013114361	64	hans hellmut kirst	Hero in the tower	0.0798	1972
uc1.32106018138799	70	todd d. brown	Entries from a hot pink notebook	0.0694	1995
mdp.39015041365100	70	lan cao	Monkey bridge	0.0873	1997
uc1.$b105677	38	evelyn anthony	Victoria and Albert; a novel	0.0823	1958
uc1.32106002161021	12	gregory benford	In the ocean of night : a novel	0.0521	1977
mdp.39015057654165	79	jacqueline winspear	Maisie Dobbs : a novel	0.0763	2003
mdp.39015079234814	41	eliot pattison	Prayer of the dragon	0.059000000000000004	2007
uc1.32106009338549	12	frank herbert	Chapter house, Dune	0.2803	1985
mdp.49015002950971	41	anne perry	Slaves of obsession	0.0948	2000
mdp.39015007051116	2	ann beattie	Love always : a novel	0.0599	1985
uc1.b4462497	63	james kavanaugh	The celibates	0.1735	1985
mdp.39015008463427	31	gore vidal	Williwaw	0.0907	1946
uc1.$b117351	31	gregor felsen	Some follow the sea	0.0617	1944
mdp.39015056825071	68	michael griffith	Bibliophilia : a novella and stories	0.0728	2003
wu.89099788358	41	jack sher	The cold companion : a novel	0.1012	1948
uc1.$b116192	13	may lamberton becker	Golden tales of the Southwest;	0.0649	1939
mdp.39015064863643	48	anna maxted	A tale of two sisters	0.1087	2006
mdp.39015020702117	38	robertson davies	The rebel angels	0.0818	1981
uc1.b4355100	43	tom mchale	The lady from Boston	0.0664	1978
mdp.39015042961055	24	tom hazuka	In the city of the disappeared : a novel	0.1021	2000
pst.000028923275	20	peter straub	Ghost story	0.1055	1979
mdp.39015060020453	41	diana gabaldon	Lord John and the private matter	0.1425	2003
uc1.32106018946951	43	"henning mankell
laurie thompson"	Depths	0.0866	2004
uc1.b3477989	6	elleston trevor	A place for the wicked	0.0501	1968
mdp.39015014692514	6	patricia highsmith	Strangers on a train	0.1014	1950
mdp.39076002944432	24	d m thomas	Ararat	0.1001	1983
uc1.$b101738	12	john mantley	The 27th day	0.0878	1957
uc1.b3435129	75	richard adams	Shardik	0.131	1974
mdp.39015024932116	6	j.f. freedman	Against the wind	0.2014	1991
osu.32435009532185	6	stuart palmer	Four lost ladies	0.0534	1949
uc1.32106014492331	64	patrick omalley	The affair of jolie madame	0.1119	1963
mdp.39015034268485	68	tina juarez	Call no man master	0.078	1995
uc1.32106015186700	13	thomas king	Medicine River	0.0819	1990
uc1.b4463185	24	leonard kriegel	Quitting time : a novel	0.0708	1982
mdp.39015014164118	6	louise shivers	Here to get my baby out of jail	0.0669	1983
mdp.39015012848910	2	penelope lively	Pack of cards : stories, 1978-1986	0.0575	1986
mdp.39015000542293	24	diane pearson	Csardas	0.1099	1975
uc1.32106018460771	68	sebastian faulks	Human traces : a novel	0.1192	2005
uc1.b3462037	78	charles johnson	Oxherding tale	0.0779	1982
mdp.39015005869790	31	vonda n mcintyre	Superluminal	0.1091	1983
mdp.39015025224190	76	josephine hart	Damage : a novel	0.066	1991
uc1.$b189678	38	"andre maurois
adriana hunter"	The climates of love	0.109	1957
mdp.39015032358460	78	reginald gibbons	Sweetbitter : a novel	0.0901	1994
mdp.39015058225197	13	samantha gillison	The king of America : a novel	0.0636	2004
mdp.39015066054035	6	james gould cozzens	The just and the unjust	0.1502	1942
mdp.39015008482328	30	john braine	Waiting for Sheila	0.0918	1976
mdp.39015000627664	31	robert kroetsch	But we are exiles : a novel	0.106	1977
pst.000065243954	31	"karsten heuer
karsten heuer"	Being caribou : five months on foot with an Arctic herd	0.0845	2005
uc1.32106007117622	68	joseph heller	God knows	0.075	1984
mdp.39015053483627	13	william t. vollmann	Argall : a book of North American landscapes	0.1034	2001
uc1.$b105891	66	robert wernick	The hill of fortune	0.1087	1951
uc1.b3796921	2	michael arlen	The crooked coronet and other misrepresentations of the real facts of life	0.0468	1937
uc1.b4470040	31	wayne short	The cheechakoes	0.1699	1964
mdp.39015060823468	66	joe coomer	Pocketful of names	0.0771	2005
mdp.39015034418932	70	pat conroy	Beach music	0.05	1995
mdp.39015039922326	70	karin goodwin	Sleeping with random beasts	0.096	1998
mdp.39015041314447	6	c.e. poverman	On the edge	0.0733	1997
mdp.39015032355904	20	kevin mcilvoy	The fifth station : a novel	0.0603	1988
mdp.39015010920505	78	alan paton	Too late the phalarope	0.0734	1953
mdp.39015002994765	76	anthony burgess	Devil of a state	0.045	1961
mdp.39015002966607	20	margery allingham	Crime and Mr. Campion	0.0467	1937
mdp.39015038118801	43	cherry hartman	The well-heeled murders	0.1009	1996
mdp.39015047536506	43	jonathan kellerman	Monster : a novel	0.0901	1999
mdp.39076006878743	70	herve bazin	Viper in the fist;	0.0653	1951
mdp.39015054065852	79	payne harrison	Thunder of Erebus	0.1167	1991
osu.32435057564585	43	a a fair	Some slips don't show	0.11199999999999999	1957
uc1.b4098252	75	alice e goudey	Here come the bears!	0.0431	1954
mdp.39015030745056	66	james t farrell	The death of Nora Ryan	0.1116	1978
mdp.39015037453753	6	julian symons	The man who hated television : and other stories	0.0886	1994
mdp.39015064680070	76	anne taylor fleming	As if love were enough : a novel	0.0957	2006
uc1.b3451481	79	w s kuniczak	The thousand hour day	0.1671	1967
mdp.39015050246480	75	michael a. thomas	Ostrich	0.0847	2000
pst.000063456578	63	frances steegmuller	States of grace	0.0729	1946
mdp.39015032752019	31	mike stroud	Shadows on the wasteland	0.0954	1993
mdp.39015056801833	12	"eric flint
david drake"	Destiny's shield	0.138	1999
mdp.39015056652004	70	dani shapiro	Family history : a novel	0.1257	2003
mdp.39015049704466	48	"maryse conde
richard philcox"	Desirada	0.0673	2000
mdp.39015068803348	70	khaled hosseini	A thousand splendid suns	0.0842	2007
mdp.39015078807446	43	nicola upson	An expert in murder	0.1337	2008
mdp.39015029211250	12	anne mccaffrey	Damia	0.1538	1992
mdp.39015045611087	21	john l. casti	The Cambridge quintet : a work of scientific speculation	0.2139	1998
mdp.39015061423466	70	adrienne sharp	First love	0.0714	2005
uc1.$b243834	6	ian niall	No resting place	0.0683	1948
